Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-3.104023e-03
1.150000e+02	-3.101420e-03
1.100000e+02	-3.102850e-03
1.050000e+02	-3.102887e-03
1.000000e+02	-3.102613e-03
9.500000e+01	-3.103727e-03
9.000000e+01	-3.099587e-03
8.500000e+01	-3.101670e-03
8.000000e+01	-3.099590e-03
7.500000e+01	-3.099153e-03
7.000000e+01	-3.096007e-03
6.500000e+01	-3.094863e-03
6.000000e+01	-3.093710e-03
5.500000e+01	-3.096460e-03
5.000000e+01	-3.091750e-03
4.500000e+01	-3.091413e-03
4.000000e+01	-3.089637e-03
3.500000e+01	-3.083490e-03
3.000000e+01	-3.078900e-03
2.900000e+01	-3.078583e-03
2.800000e+01	-3.079497e-03
2.700000e+01	-3.077507e-03
2.600000e+01	-3.073740e-03
2.500000e+01	-3.072130e-03
2.400000e+01	-3.070367e-03
2.300000e+01	-3.069730e-03
2.200000e+01	-3.066403e-03
2.100000e+01	-3.065293e-03
2.000000e+01	-3.057443e-03
1.900000e+01	-3.057147e-03
1.800000e+01	-3.051337e-03
1.700000e+01	-3.052917e-03
1.600000e+01	-3.048637e-03
1.500000e+01	-3.042143e-03
1.400000e+01	-3.035197e-03
1.300000e+01	-3.032347e-03
1.200000e+01	-3.027987e-03
1.100000e+01	-3.020917e-03
1.000000e+01	-3.014740e-03
9.000000e+00	-3.001693e-03
8.000000e+00	-2.993667e-03
7.000000e+00	-2.985453e-03
6.000000e+00	-2.968400e-03
5.000000e+00	-2.957230e-03
4.750000e+00	-2.951503e-03
4.500000e+00	-2.943573e-03
4.250000e+00	-2.943893e-03
4.000000e+00	-2.935510e-03
3.750000e+00	-2.935240e-03
3.500000e+00	-2.927897e-03
3.250000e+00	-2.925663e-03
3.000000e+00	-2.922027e-03
2.750000e+00	-2.914823e-03
2.500000e+00	-2.910477e-03
2.250000e+00	-2.903857e-03
2.000000e+00	-2.898040e-03
1.750000e+00	-2.892017e-03
1.500000e+00	-2.883113e-03
1.250000e+00	-2.879687e-03
1.000000e+00	-2.868677e-03
9.500000e-01	-2.868083e-03
9.000000e-01	-2.865700e-03
8.500000e-01	-2.863423e-03
8.000000e-01	-2.862773e-03
7.500000e-01	-2.861450e-03
7.000000e-01	-2.860177e-03
6.500000e-01	-2.857647e-03
6.000000e-01	-2.856090e-03
5.500000e-01	-2.851190e-03
5.000000e-01	-2.850130e-03
4.500000e-01	-2.846720e-03
4.000000e-01	-2.844340e-03
3.500000e-01	-2.842757e-03
3.000000e-01	-2.840827e-03
2.500000e-01	-2.839410e-03
2.000000e-01	-1.740110e-03
1.500000e-01	-1.414640e-03
1.000000e-01	-1.317607e-03
5.000000e-02	-1.235873e-03
0.000000e+00	-1.156437e-03
-5.000000e-02	-1.099773e-03
-1.000000e-01	-1.020657e-03
-1.500000e-01	-9.586160e-04
-2.000000e-01	-8.859207e-04
-2.500000e-01	-8.358577e-04
-3.000000e-01	-8.264197e-04
-3.500000e-01	-8.110487e-04
-4.000000e-01	-8.008733e-04
-4.500000e-01	-7.972717e-04
-5.000000e-01	-7.924933e-04
-5.500000e-01	-7.873800e-04
-6.000000e-01	-7.839623e-04
