Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.206020e-03
1.200000e+02	-1.204930e-03
1.150000e+02	-1.207667e-03
1.100000e+02	-1.208957e-03
1.050000e+02	-1.205853e-03
1.000000e+02	-1.202453e-03
9.500000e+01	-1.203570e-03
9.000000e+01	-1.203030e-03
8.500000e+01	-1.193377e-03
8.000000e+01	-1.191527e-03
7.500000e+01	-1.187127e-03
7.000000e+01	-1.182400e-03
6.500000e+01	-1.181277e-03
6.000000e+01	-1.169357e-03
5.900000e+01	-1.171290e-03
5.800000e+01	-1.168953e-03
5.700000e+01	-1.163370e-03
5.600000e+01	-1.161043e-03
5.500000e+01	-1.164397e-03
5.400000e+01	-1.159233e-03
5.300000e+01	-1.159730e-03
5.200000e+01	-1.157367e-03
5.100000e+01	-1.159637e-03
5.000000e+01	-1.147437e-03
4.900000e+01	-1.145633e-03
4.800000e+01	-1.147483e-03
4.700000e+01	-1.142143e-03
4.600000e+01	-1.139733e-03
4.500000e+01	-1.135313e-03
4.400000e+01	-1.132873e-03
4.300000e+01	-1.129460e-03
4.200000e+01	-1.125013e-03
4.100000e+01	-1.121293e-03
4.000000e+01	-1.114623e-03
3.900000e+01	-1.109650e-03
3.800000e+01	-1.108877e-03
3.700000e+01	-1.100287e-03
3.600000e+01	-1.091237e-03
3.500000e+01	-1.088967e-03
3.400000e+01	-1.085367e-03
3.300000e+01	-1.079333e-03
3.200000e+01	-1.068740e-03
3.100000e+01	-1.065460e-03
3.000000e+01	-1.058837e-03
2.900000e+01	-1.051327e-03
2.800000e+01	-1.035843e-03
2.700000e+01	-1.032863e-03
2.600000e+01	-1.024710e-03
2.500000e+01	-1.013520e-03
2.400000e+01	-1.001767e-03
2.300000e+01	-9.985750e-04
2.200000e+01	-9.861300e-04
2.100000e+01	-9.721733e-04
2.000000e+01	-9.604763e-04
1.900000e+01	-9.502077e-04
1.800000e+01	-9.390780e-04
1.700000e+01	-9.265463e-04
1.600000e+01	-9.107720e-04
1.500000e+01	-8.989803e-04
1.400000e+01	-8.821077e-04
1.300000e+01	-8.580473e-04
1.200000e+01	-8.468333e-04
