Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.215227e-03
1.200000e+02	-1.213697e-03
1.150000e+02	-1.218067e-03
1.100000e+02	-1.213233e-03
1.050000e+02	-1.212433e-03
1.000000e+02	-1.209837e-03
9.500000e+01	-1.209033e-03
9.000000e+01	-1.209397e-03
8.500000e+01	-1.206707e-03
8.000000e+01	-1.202020e-03
7.500000e+01	-1.199303e-03
7.000000e+01	-1.194397e-03
6.500000e+01	-1.193797e-03
6.000000e+01	-1.189080e-03
5.900000e+01	-1.185460e-03
5.800000e+01	-1.185190e-03
5.700000e+01	-1.169230e-03
5.600000e+01	-1.178840e-03
5.500000e+01	-1.178690e-03
5.400000e+01	-1.172890e-03
5.300000e+01	-1.165860e-03
5.200000e+01	-1.173833e-03
5.100000e+01	-1.165280e-03
5.000000e+01	-1.164097e-03
4.900000e+01	-1.157147e-03
4.800000e+01	-1.154903e-03
4.700000e+01	-1.151647e-03
4.600000e+01	-1.146773e-03
4.500000e+01	-1.145173e-03
4.400000e+01	-1.140327e-03
4.300000e+01	-1.143203e-03
4.200000e+01	-1.130647e-03
4.100000e+01	-1.124000e-03
4.000000e+01	-1.122273e-03
3.900000e+01	-1.113397e-03
3.800000e+01	-1.111293e-03
3.700000e+01	-1.100413e-03
3.600000e+01	-1.096573e-03
3.500000e+01	-1.087037e-03
3.400000e+01	-1.081800e-03
3.300000e+01	-1.070790e-03
3.200000e+01	-1.063390e-03
3.100000e+01	-1.052903e-03
3.000000e+01	-1.041750e-03
2.900000e+01	-1.027473e-03
2.800000e+01	-1.017293e-03
2.700000e+01	-1.001357e-03
2.600000e+01	-9.863487e-04
2.500000e+01	-9.745290e-04
2.400000e+01	-9.616830e-04
2.300000e+01	-9.479000e-04
2.200000e+01	-9.280670e-04
2.100000e+01	-9.115840e-04
2.000000e+01	-8.933063e-04
1.900000e+01	-8.769337e-04
1.800000e+01	-8.596303e-04
1.700000e+01	-8.399397e-04
1.600000e+01	-8.133223e-04
1.500000e+01	-8.007027e-04
1.400000e+01	-7.774393e-04
1.300000e+01	-7.548897e-04
1.200000e+01	-7.297710e-04
1.100000e+01	-7.056713e-04
1.000000e+01	-6.822913e-04
9.000000e+00	-6.564943e-04
8.000000e+00	-6.387317e-04
7.000000e+00	-6.038443e-04
6.000000e+00	-5.816437e-04
5.000000e+00	-5.469657e-04
4.000000e+00	-5.239093e-04
3.000000e+00	-5.014537e-04
2.000000e+00	-4.628473e-04
1.950000e+00	-4.577173e-04
1.900000e+00	-4.597680e-04
1.850000e+00	-4.589583e-04
1.800000e+00	-4.632907e-04
1.750000e+00	-4.599660e-04
1.700000e+00	-4.590237e-04
1.650000e+00	-4.601003e-04
1.600000e+00	-4.535573e-04
1.550000e+00	-4.510420e-04
1.500000e+00	-4.503507e-04
1.450000e+00	-4.559117e-04
1.400000e+00	-4.495497e-04
1.350000e+00	-4.507463e-04
1.300000e+00	-4.517703e-04
1.250000e+00	-4.465490e-04
1.200000e+00	-4.434583e-04
1.150000e+00	-4.392850e-04
1.100000e+00	-4.468940e-04
1.050000e+00	-4.425463e-04
1.000000e+00	-4.399817e-04
9.500000e-01	-4.358880e-04
9.000000e-01	-4.386257e-04
8.500000e-01	-4.334203e-04
8.000000e-01	-4.307227e-04
7.500000e-01	-4.248867e-04
7.000000e-01	-4.265643e-04
6.500000e-01	-4.246873e-04
6.000000e-01	-4.225683e-04
5.500000e-01	-4.206270e-04
5.000000e-01	-4.239573e-04
4.500000e-01	-4.179983e-04
4.000000e-01	-4.141497e-04
3.500000e-01	-4.137040e-04
3.000000e-01	-4.114553e-04
2.500000e-01	-4.097757e-04
2.000000e-01	-4.099767e-04
1.500000e-01	-4.064410e-04
1.000000e-01	-4.056467e-04
5.000000e-02	-4.067297e-04
0.000000e+00	-4.024783e-04
-5.000000e-02	-3.974477e-04
-1.000000e-01	-3.993990e-04
-1.500000e-01	-3.979967e-04
-2.000000e-01	-3.941270e-04
-2.500000e-01	-3.930177e-04
-3.000000e-01	-3.940520e-04
-3.500000e-01	-3.916007e-04
-4.000000e-01	-3.820413e-04
-4.500000e-01	-3.842097e-04
-5.000000e-01	-3.919797e-04
-5.500000e-01	-3.861103e-04
-6.000000e-01	-3.820547e-04
-6.500000e-01	-3.810777e-04
-7.000000e-01	-3.825227e-04
-7.500000e-01	-3.840323e-04
-8.000000e-01	-3.763897e-04
-8.500000e-01	-3.754377e-04
-9.000000e-01	-3.795053e-04
-9.500000e-01	-3.506650e-04
-1.000000e+00	-2.803777e-04
-1.050000e+00	-2.387203e-04
-1.100000e+00	-1.929720e-04
-1.150000e+00	-1.373806e-04
-1.200000e+00	-1.028589e-04
