Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.578340e-03
1.200000e+02	-1.576807e-03
1.150000e+02	-1.582527e-03
1.100000e+02	-1.575883e-03
1.050000e+02	-1.576277e-03
1.000000e+02	-1.576840e-03
9.500000e+01	-1.575047e-03
9.000000e+01	-1.575147e-03
8.500000e+01	-1.569697e-03
8.000000e+01	-1.573333e-03
7.500000e+01	-1.569107e-03
7.000000e+01	-1.564033e-03
6.500000e+01	-1.560837e-03
6.000000e+01	-1.554370e-03
5.900000e+01	-1.556633e-03
5.800000e+01	-1.555077e-03
5.700000e+01	-1.554410e-03
5.600000e+01	-1.549303e-03
5.500000e+01	-1.549500e-03
5.400000e+01	-1.546537e-03
5.300000e+01	-1.548677e-03
5.200000e+01	-1.545227e-03
5.100000e+01	-1.545197e-03
5.000000e+01	-1.540810e-03
4.900000e+01	-1.537853e-03
4.800000e+01	-1.536150e-03
4.700000e+01	-1.533687e-03
4.600000e+01	-1.527400e-03
4.500000e+01	-1.526433e-03
4.400000e+01	-1.525087e-03
4.300000e+01	-1.518753e-03
4.200000e+01	-1.516760e-03
4.100000e+01	-1.509203e-03
4.000000e+01	-1.502620e-03
3.900000e+01	-1.508923e-03
3.800000e+01	-1.495663e-03
3.700000e+01	-1.489963e-03
3.600000e+01	-1.485190e-03
3.500000e+01	-1.476863e-03
3.400000e+01	-1.476403e-03
3.300000e+01	-1.466983e-03
3.200000e+01	-1.460207e-03
3.100000e+01	-1.448663e-03
3.000000e+01	-1.442920e-03
2.900000e+01	-1.438860e-03
2.800000e+01	-1.424410e-03
2.700000e+01	-1.416730e-03
2.600000e+01	-1.405923e-03
2.500000e+01	-1.393830e-03
2.400000e+01	-1.381937e-03
2.300000e+01	-1.373440e-03
2.200000e+01	-1.359353e-03
2.100000e+01	-1.347787e-03
2.000000e+01	-1.330177e-03
1.900000e+01	-1.317140e-03
1.800000e+01	-1.301600e-03
1.700000e+01	-1.284327e-03
1.600000e+01	-1.266570e-03
1.500000e+01	-1.248597e-03
1.400000e+01	-1.230840e-03
1.300000e+01	-1.211353e-03
1.200000e+01	-1.191883e-03
1.100000e+01	-1.170523e-03
1.000000e+01	-1.145287e-03
9.000000e+00	-1.127890e-03
8.000000e+00	-1.102587e-03
7.000000e+00	-1.073570e-03
6.000000e+00	-1.050313e-03
5.000000e+00	-1.024193e-03
4.000000e+00	-9.962630e-04
3.000000e+00	-9.682297e-04
2.000000e+00	-9.406180e-04
1.950000e+00	-9.362537e-04
1.900000e+00	-9.383173e-04
1.850000e+00	-9.323757e-04
1.800000e+00	-9.313347e-04
1.750000e+00	-9.289807e-04
1.700000e+00	-9.332110e-04
1.650000e+00	-9.274957e-04
1.600000e+00	-9.217233e-04
1.550000e+00	-9.241733e-04
1.500000e+00	-9.241553e-04
1.450000e+00	-9.232137e-04
1.400000e+00	-9.181120e-04
1.350000e+00	-9.176250e-04
1.300000e+00	-9.194973e-04
1.250000e+00	-9.177800e-04
1.200000e+00	-9.132697e-04
1.150000e+00	-9.113080e-04
1.100000e+00	-9.098457e-04
