Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.729727e-03
1.200000e+02	-1.720377e-03
1.150000e+02	-1.731717e-03
1.100000e+02	-1.729313e-03
1.050000e+02	-1.723480e-03
1.000000e+02	-1.723160e-03
9.500000e+01	-1.727377e-03
9.000000e+01	-1.721417e-03
8.500000e+01	-1.720990e-03
8.000000e+01	-1.719643e-03
7.500000e+01	-1.717637e-03
7.000000e+01	-1.711640e-03
6.500000e+01	-1.713157e-03
6.000000e+01	-1.708267e-03
5.900000e+01	-1.722047e-03
5.800000e+01	-1.714977e-03
5.700000e+01	-1.719073e-03
5.600000e+01	-1.710923e-03
5.500000e+01	-1.709663e-03
5.400000e+01	-1.706063e-03
5.300000e+01	-1.704450e-03
5.200000e+01	-1.717360e-03
5.100000e+01	-1.703960e-03
5.000000e+01	-1.711220e-03
4.900000e+01	-1.692963e-03
4.800000e+01	-1.705843e-03
4.700000e+01	-1.707057e-03
4.600000e+01	-1.725097e-03
4.500000e+01	-1.710233e-03
4.400000e+01	-1.706103e-03
4.300000e+01	-1.706183e-03
4.200000e+01	-1.706773e-03
4.100000e+01	-1.700553e-03
4.000000e+01	-1.726007e-03
3.900000e+01	-1.704943e-03
3.800000e+01	-1.702427e-03
3.700000e+01	-1.682067e-03
3.600000e+01	-1.726243e-03
3.500000e+01	-1.698497e-03
3.400000e+01	-1.675063e-03
3.300000e+01	-1.677987e-03
3.200000e+01	-1.675803e-03
3.100000e+01	-1.692717e-03
3.000000e+01	-1.674480e-03
2.900000e+01	-1.672517e-03
2.800000e+01	-1.691053e-03
2.700000e+01	-1.664193e-03
2.600000e+01	-1.669327e-03
2.500000e+01	-1.680523e-03
2.400000e+01	-1.666113e-03
2.300000e+01	-1.655033e-03
2.200000e+01	-1.661327e-03
2.100000e+01	-1.665573e-03
2.000000e+01	-1.656433e-03
1.900000e+01	-1.660367e-03
1.800000e+01	-1.643823e-03
1.700000e+01	-1.626627e-03
1.600000e+01	-1.645747e-03
1.500000e+01	-1.632073e-03
1.400000e+01	-1.631437e-03
1.300000e+01	-1.618483e-03
1.200000e+01	-1.628127e-03
1.100000e+01	-1.613397e-03
1.000000e+01	-1.607507e-03
9.000000e+00	-1.609483e-03
8.000000e+00	-1.608237e-03
7.000000e+00	-1.586017e-03
6.000000e+00	-1.572073e-03
5.000000e+00	-1.558197e-03
4.000000e+00	-1.554543e-03
3.000000e+00	-1.541127e-03
2.000000e+00	-1.547467e-03
1.950000e+00	-1.533040e-03
1.900000e+00	-1.527003e-03
1.850000e+00	-1.522853e-03
1.800000e+00	-1.528060e-03
1.750000e+00	-1.534097e-03
1.700000e+00	-1.518830e-03
1.650000e+00	-1.540727e-03
1.600000e+00	-1.528613e-03
1.550000e+00	-1.515953e-03
1.500000e+00	-1.525037e-03
1.450000e+00	-1.518020e-03
1.400000e+00	-1.523197e-03
1.350000e+00	-1.528590e-03
1.300000e+00	-1.520523e-03
1.250000e+00	-1.519880e-03
1.200000e+00	-1.512700e-03
1.150000e+00	-1.509093e-03
1.100000e+00	-1.521403e-03
1.050000e+00	-1.515053e-03
1.000000e+00	-1.514080e-03
9.500000e-01	-1.521267e-03
9.000000e-01	-1.512727e-03
8.500000e-01	-1.513687e-03
8.000000e-01	-1.503780e-03
7.500000e-01	-1.519907e-03
7.000000e-01	-1.510623e-03
6.500000e-01	-1.503990e-03
6.000000e-01	-1.516090e-03
5.500000e-01	-1.501750e-03
5.000000e-01	-1.522103e-03
4.500000e-01	-1.503277e-03
4.000000e-01	-1.503263e-03
3.500000e-01	-1.503420e-03
3.000000e-01	-1.500170e-03
2.500000e-01	-1.511870e-03
2.000000e-01	-1.507453e-03
1.500000e-01	-1.498477e-03
1.000000e-01	-1.505770e-03
5.000000e-02	-1.516460e-03
0.000000e+00	-1.512790e-03
-5.000000e-02	-1.508000e-03
-1.000000e-01	-1.509803e-03
-1.500000e-01	-1.511820e-03
-2.000000e-01	-1.494673e-03
-2.500000e-01	-1.505773e-03
-3.000000e-01	-1.492280e-03
-3.500000e-01	-1.502317e-03
-4.000000e-01	-1.507110e-03
-4.500000e-01	-1.504957e-03
-5.000000e-01	-1.500183e-03
-5.500000e-01	-1.496690e-03
-6.000000e-01	-1.507743e-03
-6.500000e-01	-1.500480e-03
-7.000000e-01	-1.506637e-03
-7.500000e-01	-1.490887e-03
-8.000000e-01	-1.503150e-03
-8.500000e-01	-1.496407e-03
-9.000000e-01	-1.483110e-03
-9.500000e-01	-1.503180e-03
-1.000000e+00	-1.354367e-03
-1.050000e+00	-1.080436e-03
-1.100000e+00	-4.372847e-04
-1.150000e+00	1.912923e-04
-1.200000e+00	2.693650e-04
-1.250000e+00	2.681977e-04
-1.300000e+00	2.791213e-04
-1.350000e+00	2.728927e-04
-1.400000e+00	2.702200e-04
-1.450000e+00	2.716950e-04
-1.500000e+00	2.765067e-04
-1.550000e+00	2.755053e-04
-1.600000e+00	2.752607e-04
-1.650000e+00	2.742483e-04
-1.700000e+00	2.745263e-04
-1.750000e+00	2.786300e-04
-1.800000e+00	2.818027e-04
-1.850000e+00	2.811017e-04
-1.900000e+00	2.805653e-04
-1.950000e+00	2.769817e-04
-2.000000e+00	2.817717e-04
-2.050000e+00	2.870020e-04
-2.100000e+00	2.817960e-04
-2.150000e+00	2.866970e-04
-2.200000e+00	2.822613e-04
-2.250000e+00	2.864143e-04
-2.300000e+00	2.870833e-04
-2.350000e+00	2.875637e-04
-2.400000e+00	2.850993e-04
-2.450000e+00	2.873310e-04
-2.500000e+00	2.874010e-04
-2.550000e+00	2.895217e-04
-2.600000e+00	2.863707e-04
-2.650000e+00	2.842877e-04
-2.700000e+00	2.908090e-04
-2.750000e+00	2.937040e-04
-2.800000e+00	2.967517e-04
-2.850000e+00	2.905893e-04
-2.900000e+00	2.943513e-04
-2.950000e+00	2.930420e-04
-3.000000e+00	2.959677e-04
-3.050000e+00	2.919910e-04
-3.100000e+00	2.956503e-04
-3.150000e+00	2.929247e-04
-3.200000e+00	2.914737e-04
-3.250000e+00	2.947227e-04
-3.300000e+00	2.964437e-04
-3.350000e+00	2.964123e-04
-3.400000e+00	3.047180e-04
-3.450000e+00	2.994183e-04
-3.500000e+00	2.999480e-04
-3.550000e+00	2.977893e-04
-3.600000e+00	2.991667e-04
-3.650000e+00	3.059093e-04
-3.700000e+00	3.019923e-04
-3.750000e+00	2.961900e-04
-3.800000e+00	3.034797e-04
-3.850000e+00	3.051773e-04
-3.900000e+00	3.084380e-04
-3.950000e+00	2.951540e-04
-4.000000e+00	2.917877e-04
-4.050000e+00	3.044047e-04
-4.100000e+00	3.050543e-04
-4.150000e+00	3.116720e-04
-4.200000e+00	2.965247e-04
-4.250000e+00	3.088537e-04
-4.300000e+00	3.192130e-04
-4.350000e+00	3.060737e-04
-4.400000e+00	3.036330e-04
-4.450000e+00	3.020797e-04
-4.500000e+00	3.101897e-04
-4.550000e+00	3.061550e-04
-4.600000e+00	3.095563e-04
-4.650000e+00	2.983700e-04
-4.700000e+00	3.151357e-04
-4.750000e+00	2.999323e-04
-4.800000e+00	3.051307e-04
-4.850000e+00	3.071527e-04
-4.900000e+00	3.030740e-04
-4.950000e+00	3.096213e-04
-5.000000e+00	3.102097e-04
-5.050000e+00	3.117490e-04
-5.100000e+00	3.062927e-04
-5.150000e+00	3.091647e-04
-5.200000e+00	3.116727e-04
-5.250000e+00	3.195263e-04
-5.300000e+00	3.088640e-04
-5.350000e+00	3.189243e-04
-5.400000e+00	3.189643e-04
-5.450000e+00	3.140010e-04
-5.500000e+00	3.151430e-04
-5.550000e+00	3.140583e-04
-5.600000e+00	3.158833e-04
-5.650000e+00	3.170627e-04
-5.700000e+00	3.185507e-04
-5.750000e+00	3.144650e-04
-5.800000e+00	3.145853e-04
-5.850000e+00	3.230947e-04
-5.900000e+00	3.230120e-04
-5.950000e+00	3.163043e-04
-6.000000e+00	3.192463e-04
-6.050000e+00	3.237497e-04
-6.100000e+00	3.202960e-04
-6.150000e+00	3.202180e-04
-6.200000e+00	3.190560e-04
-6.250000e+00	3.201373e-04
-6.300000e+00	3.179723e-04
-6.350000e+00	3.213470e-04
-6.400000e+00	3.223447e-04
-6.450000e+00	3.208627e-04
-6.500000e+00	3.197143e-04
-6.550000e+00	3.219130e-04
-6.600000e+00	3.225323e-04
-6.650000e+00	3.219127e-04
-6.700000e+00	3.265030e-04
-6.750000e+00	3.272913e-04
-6.800000e+00	3.233623e-04
-6.850000e+00	3.264910e-04
-6.900000e+00	3.277403e-04
-6.950000e+00	3.282617e-04
-7.000000e+00	3.260470e-04
-7.050000e+00	3.239257e-04
-7.100000e+00	3.284730e-04
-7.150000e+00	3.275657e-04
-7.200000e+00	3.270547e-04
-7.250000e+00	3.319310e-04
-7.300000e+00	3.317940e-04
-7.350000e+00	3.303753e-04
-7.400000e+00	3.300020e-04
-7.450000e+00	3.334897e-04
-7.500000e+00	3.322960e-04
-7.550000e+00	3.315967e-04
-7.600000e+00	3.312800e-04
-7.650000e+00	3.359017e-04
-7.700000e+00	3.361090e-04
-7.750000e+00	3.314013e-04
-7.800000e+00	3.318990e-04
-7.850000e+00	3.371890e-04
-7.900000e+00	3.389643e-04
-7.950000e+00	3.367483e-04
-8.000000e+00	3.365063e-04
-8.050000e+00	3.386277e-04
-8.100000e+00	3.372503e-04
-8.150000e+00	3.389287e-04
-8.200000e+00	3.296690e-04
-8.250000e+00	3.379883e-04
-8.300000e+00	3.420770e-04
-8.350000e+00	3.421813e-04
-8.400000e+00	3.334007e-04
-8.450000e+00	3.330033e-04
-8.500000e+00	3.381500e-04
-8.550000e+00	3.331947e-04
-8.600000e+00	3.310017e-04
-8.650000e+00	3.376117e-04
-8.700000e+00	3.465293e-04
-8.750000e+00	3.407570e-04
-8.800000e+00	3.396437e-04
-8.850000e+00	3.481057e-04
-8.900000e+00	3.386190e-04
-8.950000e+00	3.432837e-04
-9.000000e+00	3.375913e-04
-9.050000e+00	3.445250e-04
-9.100000e+00	3.456277e-04
-9.150000e+00	3.474980e-04
-9.200000e+00	3.448170e-04
-9.250000e+00	3.464390e-04
-9.300000e+00	3.453880e-04
-9.350000e+00	3.469580e-04
-9.400000e+00	3.457867e-04
-9.450000e+00	3.472590e-04
-9.500000e+00	3.448000e-04
-9.550000e+00	3.449827e-04
-9.600000e+00	3.494460e-04
-9.650000e+00	3.507700e-04
-9.700000e+00	3.484040e-04
-9.750000e+00	3.480793e-04
-9.800000e+00	3.498100e-04
-9.850000e+00	3.523290e-04
-9.900000e+00	3.501880e-04
-9.950000e+00	3.475120e-04
-1.000000e+01	3.519300e-04
-1.100000e+01	3.609400e-04
-1.200000e+01	3.673613e-04
-1.300000e+01	3.732670e-04
-1.400000e+01	3.745710e-04
-1.500000e+01	3.814030e-04
-1.600000e+01	3.866530e-04
-1.700000e+01	3.880697e-04
-1.800000e+01	3.949253e-04
-1.900000e+01	3.961913e-04
-2.000000e+01	3.988247e-04
-2.100000e+01	4.071857e-04
-2.200000e+01	4.121173e-04
-2.300000e+01	4.130240e-04
-2.400000e+01	4.094153e-04
-2.500000e+01	4.117027e-04
-2.600000e+01	4.215910e-04
-2.700000e+01	4.262580e-04
-2.800000e+01	4.278770e-04
-2.900000e+01	4.290807e-04
-3.000000e+01	4.319377e-04
-3.100000e+01	4.341897e-04
-3.200000e+01	4.321210e-04
-3.300000e+01	4.375313e-04
-3.400000e+01	4.442593e-04
-3.500000e+01	4.454200e-04
-3.600000e+01	4.442463e-04
-3.700000e+01	4.461143e-04
-3.800000e+01	4.482343e-04
-3.900000e+01	4.517040e-04
-4.000000e+01	4.461637e-04
-4.100000e+01	4.555213e-04
-4.200000e+01	4.521573e-04
-4.300000e+01	4.584693e-04
-4.400000e+01	4.570520e-04
-4.500000e+01	4.562467e-04
-4.600000e+01	4.599393e-04
-4.700000e+01	4.572677e-04
-4.800000e+01	4.589297e-04
-4.900000e+01	4.676580e-04
-5.000000e+01	4.647477e-04
-5.100000e+01	4.646157e-04
-5.200000e+01	4.696137e-04
-5.300000e+01	4.668227e-04
-5.400000e+01	4.699867e-04
-5.500000e+01	4.666873e-04
-5.600000e+01	4.745507e-04
-5.700000e+01	4.741320e-04
-5.800000e+01	4.718367e-04
-5.900000e+01	4.671860e-04
-6.000000e+01	4.701173e-04
-6.500000e+01	4.781260e-04
-7.000000e+01	4.776837e-04
-7.500000e+01	4.823887e-04
-8.000000e+01	4.825683e-04
-8.500000e+01	4.870780e-04
-9.000000e+01	4.872687e-04
-9.500000e+01	4.829810e-04
-1.000000e+02	4.873117e-04
-1.050000e+02	4.911013e-04
-1.100000e+02	4.959347e-04
-1.150000e+02	4.922660e-04
-1.200000e+02	4.922537e-04
-1.250000e+02	4.918713e-04
-1.200000e+02	4.910433e-04
-1.150000e+02	4.930723e-04
-1.100000e+02	4.884000e-04
-1.050000e+02	4.881940e-04
-1.000000e+02	4.914437e-04
-9.500000e+01	4.871220e-04
-9.000000e+01	4.895047e-04
-8.500000e+01	4.917373e-04
-8.000000e+01	4.794280e-04
-7.500000e+01	4.855080e-04
-7.000000e+01	4.849310e-04
-6.500000e+01	4.809313e-04
-6.000000e+01	4.710510e-04
-5.900000e+01	4.743613e-04
-5.800000e+01	4.750430e-04
-5.700000e+01	4.671357e-04
-5.600000e+01	4.666623e-04
-5.500000e+01	4.702027e-04
-5.400000e+01	4.693317e-04
-5.300000e+01	4.676650e-04
-5.200000e+01	4.675117e-04
-5.100000e+01	4.630560e-04
-5.000000e+01	4.612027e-04
-4.900000e+01	4.629073e-04
-4.800000e+01	4.560467e-04
-4.700000e+01	4.581257e-04
-4.600000e+01	4.579770e-04
-4.500000e+01	4.595983e-04
-4.400000e+01	4.537140e-04
-4.300000e+01	4.549583e-04
-4.200000e+01	4.519497e-04
-4.100000e+01	4.540003e-04
-4.000000e+01	4.479360e-04
-3.900000e+01	4.495600e-04
-3.800000e+01	4.433207e-04
-3.700000e+01	4.467143e-04
-3.600000e+01	4.418193e-04
-3.500000e+01	4.391250e-04
-3.400000e+01	4.377500e-04
-3.300000e+01	4.384397e-04
-3.200000e+01	4.304313e-04
-3.100000e+01	4.342987e-04
-3.000000e+01	4.313410e-04
-2.900000e+01	4.252580e-04
-2.800000e+01	4.252267e-04
-2.700000e+01	4.191663e-04
-2.600000e+01	4.180353e-04
-2.500000e+01	4.208960e-04
-2.400000e+01	4.098623e-04
-2.300000e+01	4.127203e-04
-2.200000e+01	4.087167e-04
-2.100000e+01	4.007670e-04
-2.000000e+01	3.945027e-04
-1.900000e+01	3.918770e-04
-1.800000e+01	3.933217e-04
-1.700000e+01	3.862583e-04
-1.600000e+01	3.819773e-04
-1.500000e+01	3.803203e-04
-1.400000e+01	3.703980e-04
-1.300000e+01	3.626160e-04
-1.200000e+01	3.571357e-04
-1.100000e+01	3.534700e-04
-1.000000e+01	3.504070e-04
-9.000000e+00	3.385843e-04
-8.000000e+00	3.331187e-04
-7.000000e+00	3.217890e-04
-6.000000e+00	3.144140e-04
-5.000000e+00	3.097970e-04
-4.000000e+00	2.944180e-04
-3.000000e+00	2.876293e-04
-2.000000e+00	2.709033e-04
-1.950000e+00	2.661523e-04
-1.900000e+00	2.722453e-04
-1.850000e+00	2.703997e-04
-1.800000e+00	2.710617e-04
-1.750000e+00	2.723690e-04
-1.700000e+00	2.639590e-04
-1.650000e+00	2.754070e-04
-1.600000e+00	2.756447e-04
-1.550000e+00	2.729313e-04
-1.500000e+00	2.664223e-04
-1.450000e+00	2.679087e-04
-1.400000e+00	2.676647e-04
-1.350000e+00	2.655073e-04
-1.300000e+00	2.671933e-04
-1.250000e+00	2.607797e-04
-1.200000e+00	2.685007e-04
-1.150000e+00	2.653873e-04
-1.100000e+00	2.659617e-04
-1.050000e+00	2.622827e-04
-1.000000e+00	2.651147e-04
-9.500000e-01	2.597693e-04
-9.000000e-01	2.647063e-04
-8.500000e-01	2.626740e-04
-8.000000e-01	2.592630e-04
-7.500000e-01	2.588513e-04
-7.000000e-01	2.584310e-04
-6.500000e-01	2.549773e-04
-6.000000e-01	2.558757e-04
-5.500000e-01	2.585790e-04
-5.000000e-01	2.575717e-04
-4.500000e-01	2.576800e-04
-4.000000e-01	2.584730e-04
-3.500000e-01	2.553090e-04
-3.000000e-01	2.508200e-04
-2.500000e-01	2.586100e-04
-2.000000e-01	2.528013e-04
-1.500000e-01	2.483713e-04
-1.000000e-01	2.562623e-04
-5.000000e-02	2.523267e-04
0.000000e+00	2.498037e-04
5.000000e-02	2.474023e-04
1.000000e-01	2.554273e-04
1.500000e-01	2.476577e-04
2.000000e-01	2.476670e-04
2.500000e-01	2.487930e-04
3.000000e-01	2.477337e-04
