Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.644057e-03
1.200000e+02	-1.646543e-03
1.150000e+02	-1.646113e-03
1.100000e+02	-1.644440e-03
1.050000e+02	-1.645567e-03
1.000000e+02	-1.643347e-03
9.500000e+01	-1.641947e-03
9.000000e+01	-1.638590e-03
8.500000e+01	-1.640693e-03
8.000000e+01	-1.641993e-03
7.500000e+01	-1.636267e-03
7.000000e+01	-1.638593e-03
6.500000e+01	-1.637017e-03
6.000000e+01	-1.629643e-03
5.900000e+01	-1.630530e-03
5.800000e+01	-1.629860e-03
5.700000e+01	-1.630023e-03
5.600000e+01	-1.626843e-03
5.500000e+01	-1.628597e-03
5.400000e+01	-1.627530e-03
5.300000e+01	-1.625957e-03
5.200000e+01	-1.623577e-03
5.100000e+01	-1.620680e-03
5.000000e+01	-1.620633e-03
4.900000e+01	-1.617553e-03
4.800000e+01	-1.614690e-03
4.700000e+01	-1.615583e-03
4.600000e+01	-1.613317e-03
4.500000e+01	-1.608307e-03
4.400000e+01	-1.606170e-03
4.300000e+01	-1.608027e-03
4.200000e+01	-1.603650e-03
4.100000e+01	-1.603727e-03
4.000000e+01	-1.602263e-03
3.900000e+01	-1.600293e-03
3.800000e+01	-1.602267e-03
3.700000e+01	-1.596380e-03
3.600000e+01	-1.593473e-03
3.500000e+01	-1.588687e-03
3.400000e+01	-1.587257e-03
3.300000e+01	-1.588563e-03
3.200000e+01	-1.580757e-03
3.100000e+01	-1.579487e-03
3.000000e+01	-1.576950e-03
2.900000e+01	-1.573307e-03
2.800000e+01	-1.566847e-03
2.700000e+01	-1.565367e-03
2.600000e+01	-1.561357e-03
2.500000e+01	-1.556237e-03
2.400000e+01	-1.551407e-03
2.300000e+01	-1.545367e-03
2.200000e+01	-1.537697e-03
2.100000e+01	-1.534373e-03
2.000000e+01	-1.528520e-03
1.900000e+01	-1.524747e-03
1.800000e+01	-1.519257e-03
1.700000e+01	-1.507317e-03
1.600000e+01	-1.501047e-03
1.500000e+01	-1.496050e-03
1.400000e+01	-1.485357e-03
1.300000e+01	-1.474897e-03
1.200000e+01	-1.467447e-03
1.100000e+01	-1.453023e-03
1.000000e+01	-1.449397e-03
9.000000e+00	-1.434160e-03
8.000000e+00	-1.425637e-03
7.000000e+00	-1.406910e-03
6.000000e+00	-1.396997e-03
5.000000e+00	-1.380600e-03
4.000000e+00	-1.364167e-03
3.000000e+00	-1.349723e-03
2.000000e+00	-1.335133e-03
1.950000e+00	-1.329363e-03
1.900000e+00	-1.328093e-03
1.850000e+00	-1.331817e-03
1.800000e+00	-1.329607e-03
