Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-2.009533e-03
1.200000e+02	-2.019030e-03
1.150000e+02	-2.014997e-03
1.100000e+02	-2.011627e-03
1.050000e+02	-2.012043e-03
1.000000e+02	-2.008657e-03
9.500000e+01	-2.003260e-03
9.000000e+01	-2.008337e-03
8.500000e+01	-1.996600e-03
8.000000e+01	-1.999400e-03
7.500000e+01	-1.990920e-03
7.000000e+01	-1.986173e-03
6.500000e+01	-1.982687e-03
6.000000e+01	-1.975480e-03
5.900000e+01	-1.972597e-03
5.800000e+01	-1.977167e-03
5.700000e+01	-1.973683e-03
5.600000e+01	-1.960933e-03
5.500000e+01	-1.959137e-03
5.400000e+01	-1.966587e-03
5.300000e+01	-1.965153e-03
5.200000e+01	-1.964967e-03
5.100000e+01	-1.960387e-03
5.000000e+01	-1.954777e-03
4.900000e+01	-1.956960e-03
4.800000e+01	-1.954500e-03
4.700000e+01	-1.942957e-03
4.600000e+01	-1.941303e-03
4.500000e+01	-1.942477e-03
4.400000e+01	-1.938353e-03
4.300000e+01	-1.935500e-03
4.200000e+01	-1.922573e-03
4.100000e+01	-1.923663e-03
4.000000e+01	-1.914310e-03
3.900000e+01	-1.915800e-03
3.800000e+01	-1.907537e-03
3.700000e+01	-1.900657e-03
3.600000e+01	-1.901737e-03
3.500000e+01	-1.889973e-03
3.400000e+01	-1.884940e-03
3.300000e+01	-1.881487e-03
3.200000e+01	-1.873587e-03
3.100000e+01	-1.871443e-03
3.000000e+01	-1.855413e-03
2.900000e+01	-1.851783e-03
2.800000e+01	-1.840777e-03
2.700000e+01	-1.832960e-03
2.600000e+01	-1.825797e-03
2.500000e+01	-1.823923e-03
2.400000e+01	-1.810883e-03
2.300000e+01	-1.798397e-03
2.200000e+01	-1.789360e-03
2.100000e+01	-1.777710e-03
2.000000e+01	-1.764110e-03
1.900000e+01	-1.751723e-03
1.800000e+01	-1.742707e-03
1.700000e+01	-1.725380e-03
1.600000e+01	-1.721180e-03
1.500000e+01	-1.699930e-03
1.400000e+01	-1.686840e-03
1.300000e+01	-1.664797e-03
1.200000e+01	-1.656033e-03
1.100000e+01	-1.633980e-03
1.000000e+01	-1.611423e-03
9.000000e+00	-1.596843e-03
8.000000e+00	-1.577693e-03
7.000000e+00	-1.551963e-03
6.000000e+00	-1.532747e-03
5.000000e+00	-1.503427e-03
4.000000e+00	-1.486277e-03
3.000000e+00	-1.464233e-03
2.000000e+00	-1.439387e-03
1.950000e+00	-1.431823e-03
1.900000e+00	-1.433987e-03
1.850000e+00	-1.430230e-03
1.800000e+00	-1.431813e-03
1.750000e+00	-1.429713e-03
1.700000e+00	-1.427450e-03
1.650000e+00	-1.429790e-03
1.600000e+00	-1.421147e-03
1.550000e+00	-1.422993e-03
1.500000e+00	-1.424743e-03
1.450000e+00	-1.428420e-03
1.400000e+00	-1.417363e-03
1.350000e+00	-1.419433e-03
1.300000e+00	-1.416363e-03
1.250000e+00	-1.415040e-03
1.200000e+00	-1.409513e-03
1.150000e+00	-1.415560e-03
1.100000e+00	-1.411923e-03
1.050000e+00	-1.408903e-03
1.000000e+00	-1.409023e-03
9.500000e-01	-1.405910e-03
9.000000e-01	-1.404707e-03
8.500000e-01	-1.400570e-03
8.000000e-01	-1.407353e-03
7.500000e-01	-1.397970e-03
7.000000e-01	-1.398997e-03
6.500000e-01	-1.399663e-03
6.000000e-01	-1.397880e-03
5.500000e-01	-1.399433e-03
5.000000e-01	-1.395273e-03
4.500000e-01	-1.403857e-03
4.000000e-01	-1.395587e-03
3.500000e-01	-1.384403e-03
3.000000e-01	-1.387143e-03
2.500000e-01	-1.391630e-03
2.000000e-01	-1.383470e-03
1.500000e-01	-1.381933e-03
1.000000e-01	-1.382287e-03
5.000000e-02	-1.386027e-03
0.000000e+00	-1.379413e-03
-5.000000e-02	-1.381157e-03
-1.000000e-01	-1.377667e-03
-1.500000e-01	-1.378963e-03
-2.000000e-01	-1.375773e-03
-2.500000e-01	-1.378083e-03
-3.000000e-01	-1.376420e-03
