Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.910537e-03
1.200000e+02	-1.910050e-03
1.150000e+02	-1.912137e-03
1.100000e+02	-1.908540e-03
1.050000e+02	-1.907977e-03
1.000000e+02	-1.901113e-03
9.500000e+01	-1.907013e-03
9.000000e+01	-1.908023e-03
8.500000e+01	-1.904813e-03
8.000000e+01	-1.901940e-03
7.500000e+01	-1.901843e-03
7.000000e+01	-1.899787e-03
6.500000e+01	-1.896080e-03
6.000000e+01	-1.885350e-03
5.900000e+01	-1.886497e-03
5.800000e+01	-1.888387e-03
5.700000e+01	-1.887163e-03
5.600000e+01	-1.885040e-03
5.500000e+01	-1.881663e-03
5.400000e+01	-1.879993e-03
5.300000e+01	-1.877880e-03
5.200000e+01	-1.878943e-03
5.100000e+01	-1.873140e-03
5.000000e+01	-1.872883e-03
4.900000e+01	-1.873037e-03
4.800000e+01	-1.867233e-03
4.700000e+01	-1.863410e-03
4.600000e+01	-1.860987e-03
4.500000e+01	-1.859597e-03
4.400000e+01	-1.859667e-03
4.300000e+01	-1.852907e-03
4.200000e+01	-1.852030e-03
4.100000e+01	-1.842580e-03
4.000000e+01	-1.841423e-03
3.900000e+01	-1.834950e-03
3.800000e+01	-1.832533e-03
3.700000e+01	-1.823357e-03
3.600000e+01	-1.822753e-03
3.500000e+01	-1.815757e-03
3.400000e+01	-1.812720e-03
3.300000e+01	-1.802307e-03
3.200000e+01	-1.799573e-03
3.100000e+01	-1.785807e-03
3.000000e+01	-1.784287e-03
2.900000e+01	-1.768803e-03
2.800000e+01	-1.764293e-03
2.700000e+01	-1.753483e-03
2.600000e+01	-1.744043e-03
2.500000e+01	-1.731290e-03
2.400000e+01	-1.719490e-03
2.300000e+01	-1.709573e-03
2.200000e+01	-1.699767e-03
2.100000e+01	-1.681423e-03
2.000000e+01	-1.669847e-03
1.900000e+01	-1.656030e-03
1.800000e+01	-1.635560e-03
1.700000e+01	-1.623990e-03
1.600000e+01	-1.604723e-03
1.500000e+01	-1.586447e-03
1.400000e+01	-1.567670e-03
1.300000e+01	-1.549457e-03
1.200000e+01	-1.532683e-03
1.100000e+01	-1.511387e-03
1.000000e+01	-1.484303e-03
9.000000e+00	-1.463527e-03
8.000000e+00	-1.445223e-03
7.000000e+00	-1.420327e-03
6.000000e+00	-1.392857e-03
5.000000e+00	-1.365720e-03
4.000000e+00	-1.339153e-03
3.000000e+00	-1.308523e-03
2.000000e+00	-1.288013e-03
1.950000e+00	-1.278750e-03
1.900000e+00	-1.276443e-03
1.850000e+00	-1.274993e-03
1.800000e+00	-1.271503e-03
1.750000e+00	-1.273870e-03
1.700000e+00	-1.270740e-03
1.650000e+00	-1.267937e-03
1.600000e+00	-1.267177e-03
1.550000e+00	-1.266210e-03
1.500000e+00	-1.268107e-03
1.450000e+00	-1.266237e-03
1.400000e+00	-1.263977e-03
1.350000e+00	-1.261453e-03
1.300000e+00	-1.263023e-03
1.250000e+00	-1.260520e-03
1.200000e+00	-1.253880e-03
1.150000e+00	-1.251713e-03
1.100000e+00	-1.256410e-03
1.050000e+00	-1.256383e-03
1.000000e+00	-1.253403e-03
9.500000e-01	-1.249900e-03
9.000000e-01	-1.248673e-03
8.500000e-01	-1.247950e-03
8.000000e-01	-1.247853e-03
7.500000e-01	-1.244103e-03
7.000000e-01	-1.240983e-03
6.500000e-01	-1.243447e-03
6.000000e-01	-1.239353e-03
5.500000e-01	-1.238053e-03
5.000000e-01	-1.237423e-03
4.500000e-01	-1.235767e-03
4.000000e-01	-1.232903e-03
3.500000e-01	-1.232107e-03
3.000000e-01	-1.232467e-03
2.500000e-01	-1.230893e-03
2.000000e-01	-1.227077e-03
1.500000e-01	-1.222800e-03
1.000000e-01	-1.225277e-03
5.000000e-02	-1.225467e-03
0.000000e+00	-1.223763e-03
-5.000000e-02	-1.219133e-03
-1.000000e-01	-1.219867e-03
-1.500000e-01	-1.219480e-03
-2.000000e-01	-1.217810e-03
-2.500000e-01	-1.213313e-03
-3.000000e-01	-1.212303e-03
-3.500000e-01	-1.215573e-03
-4.000000e-01	-1.211550e-03
-4.500000e-01	-1.208050e-03
-5.000000e-01	-1.207133e-03
-5.500000e-01	-1.209903e-03
-6.000000e-01	-1.203883e-03
-6.500000e-01	-1.204723e-03
-7.000000e-01	-1.202390e-03
-7.500000e-01	-1.201777e-03
-8.000000e-01	-1.196447e-03
-8.500000e-01	-1.195957e-03
-9.000000e-01	-1.194327e-03
-9.500000e-01	-1.194987e-03
-1.000000e+00	-1.190100e-03
-1.050000e+00	-1.192833e-03
-1.100000e+00	-1.197283e-03
-1.150000e+00	-1.189890e-03
-1.200000e+00	-1.186777e-03
-1.250000e+00	-1.181403e-03
-1.300000e+00	-1.183057e-03
-1.350000e+00	-1.181750e-03
-1.400000e+00	-1.181290e-03
-1.450000e+00	-1.177047e-03
-1.500000e+00	-1.173573e-03
-1.550000e+00	-1.174627e-03
-1.600000e+00	-1.174377e-03
-1.650000e+00	-1.176313e-03
-1.700000e+00	-1.172957e-03
-1.750000e+00	-1.171020e-03
