Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.835230e-03
1.200000e+02	-1.837737e-03
1.150000e+02	-1.839293e-03
1.100000e+02	-1.835157e-03
1.050000e+02	-1.835717e-03
1.000000e+02	-1.834120e-03
9.500000e+01	-1.831813e-03
9.000000e+01	-1.830270e-03
8.500000e+01	-1.832817e-03
8.000000e+01	-1.830853e-03
7.500000e+01	-1.823200e-03
7.000000e+01	-1.821310e-03
6.500000e+01	-1.821477e-03
6.000000e+01	-1.814190e-03
5.900000e+01	-1.809097e-03
5.800000e+01	-1.810593e-03
5.700000e+01	-1.808797e-03
5.600000e+01	-1.806243e-03
5.500000e+01	-1.803917e-03
5.400000e+01	-1.804703e-03
5.300000e+01	-1.807773e-03
5.200000e+01	-1.803367e-03
5.100000e+01	-1.801083e-03
5.000000e+01	-1.798843e-03
4.900000e+01	-1.796653e-03
4.800000e+01	-1.793727e-03
4.700000e+01	-1.793100e-03
4.600000e+01	-1.790927e-03
4.500000e+01	-1.787183e-03
4.400000e+01	-1.781547e-03
4.300000e+01	-1.782830e-03
4.200000e+01	-1.781753e-03
4.100000e+01	-1.781630e-03
4.000000e+01	-1.773737e-03
3.900000e+01	-1.780597e-03
3.800000e+01	-1.766737e-03
3.700000e+01	-1.764863e-03
3.600000e+01	-1.756543e-03
3.500000e+01	-1.754507e-03
3.400000e+01	-1.753193e-03
3.300000e+01	-1.744700e-03
3.200000e+01	-1.739007e-03
3.100000e+01	-1.737410e-03
3.000000e+01	-1.731910e-03
2.900000e+01	-1.725270e-03
2.800000e+01	-1.719070e-03
2.700000e+01	-1.713900e-03
2.600000e+01	-1.707100e-03
2.500000e+01	-1.699640e-03
2.400000e+01	-1.694547e-03
2.300000e+01	-1.686580e-03
2.200000e+01	-1.678253e-03
2.100000e+01	-1.668107e-03
2.000000e+01	-1.663960e-03
1.900000e+01	-1.652177e-03
1.800000e+01	-1.640120e-03
1.700000e+01	-1.629277e-03
1.600000e+01	-1.617353e-03
1.500000e+01	-1.605960e-03
1.400000e+01	-1.590650e-03
1.300000e+01	-1.577307e-03
1.200000e+01	-1.567497e-03
1.100000e+01	-1.551423e-03
1.000000e+01	-1.532680e-03
9.000000e+00	-1.516380e-03
8.000000e+00	-1.503557e-03
7.000000e+00	-1.485503e-03
6.000000e+00	-1.461450e-03
5.000000e+00	-1.442607e-03
4.000000e+00	-1.426390e-03
3.000000e+00	-1.402800e-03
2.000000e+00	-1.377177e-03
1.950000e+00	-1.373567e-03
1.900000e+00	-1.370883e-03
1.850000e+00	-1.375327e-03
1.800000e+00	-1.375763e-03
1.750000e+00	-1.367603e-03
1.700000e+00	-1.369063e-03
1.650000e+00	-1.375393e-03
1.600000e+00	-1.369477e-03
1.550000e+00	-1.366413e-03
1.500000e+00	-1.362517e-03
1.450000e+00	-1.363630e-03
1.400000e+00	-1.365067e-03
1.350000e+00	-1.365353e-03
1.300000e+00	-1.359850e-03
1.250000e+00	-1.360440e-03
1.200000e+00	-1.361667e-03
1.150000e+00	-1.355997e-03
1.100000e+00	-1.357327e-03
1.050000e+00	-1.353703e-03
1.000000e+00	-1.358120e-03
9.500000e-01	-1.357070e-03
9.000000e-01	-1.349813e-03
8.500000e-01	-1.349953e-03
8.000000e-01	-1.351023e-03
7.500000e-01	-1.349217e-03
7.000000e-01	-1.348543e-03
6.500000e-01	-1.345613e-03
6.000000e-01	-1.342073e-03
5.500000e-01	-1.346327e-03
5.000000e-01	-1.343260e-03
4.500000e-01	-1.344303e-03
4.000000e-01	-1.339590e-03
3.500000e-01	-1.340160e-03
3.000000e-01	-1.338187e-03
2.500000e-01	-1.335837e-03
2.000000e-01	-1.334110e-03
1.500000e-01	-1.336037e-03
1.000000e-01	-1.330663e-03
5.000000e-02	-1.332920e-03
0.000000e+00	-1.327977e-03
-5.000000e-02	-1.325650e-03
-1.000000e-01	-1.325037e-03
-1.500000e-01	-1.325270e-03
-2.000000e-01	-1.320160e-03
-2.500000e-01	-1.320247e-03
-3.000000e-01	-1.320300e-03
-3.500000e-01	-1.316880e-03
-4.000000e-01	-1.318567e-03
-4.500000e-01	-1.320583e-03
