Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-4.832510e-04
1.150000e+02	-4.892253e-04
1.100000e+02	-4.887130e-04
1.050000e+02	-4.877613e-04
1.000000e+02	-4.858533e-04
9.500000e+01	-4.871640e-04
9.000000e+01	-4.856370e-04
8.500000e+01	-4.854183e-04
8.000000e+01	-4.859463e-04
7.500000e+01	-4.854117e-04
7.000000e+01	-4.843757e-04
6.500000e+01	-4.845707e-04
6.000000e+01	-4.827103e-04
5.500000e+01	-4.797143e-04
5.000000e+01	-4.801813e-04
4.500000e+01	-4.772507e-04
4.000000e+01	-4.765823e-04
3.500000e+01	-4.743607e-04
3.000000e+01	-4.714167e-04
2.500000e+01	-4.685983e-04
2.000000e+01	-4.622257e-04
1.900000e+01	-4.625393e-04
1.800000e+01	-4.597187e-04
1.700000e+01	-4.598743e-04
1.600000e+01	-4.578237e-04
1.500000e+01	-4.579427e-04
1.400000e+01	-4.575597e-04
1.300000e+01	-4.560497e-04
1.200000e+01	-4.531253e-04
1.100000e+01	-4.505533e-04
1.000000e+01	-4.476053e-04
9.000000e+00	-4.446417e-04
8.000000e+00	-4.427727e-04
7.000000e+00	-4.408710e-04
6.000000e+00	-4.403607e-04
5.000000e+00	-4.362487e-04
4.000000e+00	-4.326730e-04
3.000000e+00	-4.303783e-04
2.000000e+00	-4.276870e-04
1.000000e+00	-4.253057e-04
0.000000e+00	-4.241093e-04
-1.000000e+00	-4.203607e-04
-2.000000e+00	-4.165493e-04
-3.000000e+00	-4.128653e-04
-4.000000e+00	-4.079140e-04
-5.000000e+00	-4.031750e-04
-6.000000e+00	-3.997223e-04
-7.000000e+00	-3.929130e-04
-8.000000e+00	-3.882537e-04
-9.000000e+00	-3.829217e-04
-1.000000e+01	-3.773190e-04
-1.100000e+01	-3.692353e-04
-1.200000e+01	-3.614093e-04
-1.300000e+01	-3.570637e-04
-1.400000e+01	-3.517447e-04
-1.500000e+01	-3.439443e-04
-1.600000e+01	-3.365640e-04
-1.700000e+01	-3.278747e-04
-1.800000e+01	-3.203213e-04
-1.900000e+01	-3.109357e-04
-2.000000e+01	-3.018503e-04
-2.100000e+01	-2.941450e-04
-2.200000e+01	-2.849370e-04
-2.300000e+01	-2.732713e-04
-2.400000e+01	-2.631027e-04
-2.500000e+01	-2.531413e-04
-2.600000e+01	-2.418673e-04
-2.700000e+01	-2.310240e-04
-2.800000e+01	-2.199010e-04
-2.900000e+01	-2.089293e-04
-3.000000e+01	-1.970260e-04
-3.100000e+01	-1.849167e-04
-3.200000e+01	-1.724140e-04
-3.300000e+01	-1.594203e-04
-3.400000e+01	-1.455180e-04
-3.500000e+01	-1.336877e-04
-3.600000e+01	-1.191710e-04
-3.700000e+01	-1.070923e-04
-3.800000e+01	-9.318147e-05
-3.900000e+01	-8.076523e-05
-4.000000e+01	-6.569917e-05
-4.100000e+01	-5.312283e-05
-4.200000e+01	-3.737320e-05
-4.300000e+01	-2.254077e-05
-4.400000e+01	-8.400497e-06
-4.500000e+01	8.869767e-06
-4.600000e+01	2.593023e-05
-4.700000e+01	4.277007e-05
-4.800000e+01	6.219480e-05
-4.900000e+01	8.406603e-05
-5.000000e+01	1.073433e-04
-5.100000e+01	1.336510e-04
-5.200000e+01	1.629743e-04
-5.300000e+01	1.972877e-04
-5.400000e+01	2.375517e-04
-5.500000e+01	2.831223e-04
-5.600000e+01	3.418893e-04
-5.700000e+01	4.085240e-04
-5.800000e+01	4.809970e-04
-5.900000e+01	5.710970e-04
-6.000000e+01	6.763603e-04
-6.100000e+01	7.953663e-04
-6.200000e+01	9.307773e-04
-6.300000e+01	1.095280e-03
-6.400000e+01	1.275260e-03
-6.500000e+01	1.454027e-03
-6.600000e+01	1.642950e-03
-6.700000e+01	1.830633e-03
-6.800000e+01	1.993207e-03
-6.900000e+01	2.146640e-03
-7.000000e+01	2.278663e-03
-7.100000e+01	2.391813e-03
-7.200000e+01	2.486690e-03
-7.300000e+01	2.559103e-03
-7.400000e+01	2.621793e-03
-7.500000e+01	2.672223e-03
-7.600000e+01	2.712977e-03
-7.700000e+01	2.740643e-03
-7.800000e+01	2.766133e-03
-7.900000e+01	2.785253e-03
-8.000000e+01	2.798047e-03
-8.100000e+01	2.808687e-03
-8.200000e+01	2.818703e-03
-8.300000e+01	2.823517e-03
-8.400000e+01	2.826650e-03
-8.500000e+01	2.830973e-03
-8.600000e+01	2.834157e-03
-8.700000e+01	2.836443e-03
-8.800000e+01	2.841930e-03
-8.900000e+01	2.842587e-03
-9.000000e+01	2.842677e-03
-9.500000e+01	2.849203e-03
-1.000000e+02	2.848677e-03
-1.050000e+02	2.852740e-03
-1.100000e+02	2.854107e-03
-1.150000e+02	2.854317e-03
-1.200000e+02	2.855453e-03
-1.150000e+02	2.855880e-03
-1.100000e+02	2.856610e-03
-1.050000e+02	2.855370e-03
-1.000000e+02	2.854987e-03
-9.500000e+01	2.852640e-03
-9.000000e+01	2.849713e-03
-8.500000e+01	2.849540e-03
-8.000000e+01	2.848630e-03
-7.500000e+01	2.846780e-03
-7.000000e+01	2.846213e-03
-6.500000e+01	2.846140e-03
-6.000000e+01	2.844353e-03
-5.500000e+01	2.845313e-03
-5.000000e+01	2.845280e-03
-4.500000e+01	2.843463e-03
-4.000000e+01	2.839920e-03
-3.500000e+01	2.836510e-03
-3.000000e+01	2.834137e-03
-2.500000e+01	2.827837e-03
-2.000000e+01	2.823270e-03
-1.900000e+01	2.821627e-03
-1.800000e+01	2.820927e-03
-1.700000e+01	2.818950e-03
-1.600000e+01	2.818083e-03
-1.500000e+01	2.817143e-03
-1.400000e+01	2.816140e-03
-1.300000e+01	2.812920e-03
-1.200000e+01	2.812423e-03
-1.100000e+01	2.813537e-03
-1.000000e+01	2.811813e-03
-9.000000e+00	2.809550e-03
-8.000000e+00	2.808890e-03
-7.000000e+00	2.805713e-03
-6.000000e+00	2.802740e-03
-5.000000e+00	2.801767e-03
-4.000000e+00	2.799750e-03
-3.000000e+00	2.797027e-03
-2.000000e+00	2.794227e-03
-1.000000e+00	2.792250e-03
0.000000e+00	2.789937e-03
1.000000e+00	2.787943e-03
2.000000e+00	2.784730e-03
3.000000e+00	2.781707e-03
4.000000e+00	2.777670e-03
5.000000e+00	2.772297e-03
6.000000e+00	2.767807e-03
7.000000e+00	2.762483e-03
8.000000e+00	2.755867e-03
9.000000e+00	2.752967e-03
1.000000e+01	2.744217e-03
1.100000e+01	2.740417e-03
1.200000e+01	2.736050e-03
1.300000e+01	2.728793e-03
1.400000e+01	2.724223e-03
1.500000e+01	2.718450e-03
1.600000e+01	2.713920e-03
1.700000e+01	2.706297e-03
1.800000e+01	2.697070e-03
1.900000e+01	2.690647e-03
2.000000e+01	2.682307e-03
2.100000e+01	2.673103e-03
2.200000e+01	2.664673e-03
2.300000e+01	2.655843e-03
2.400000e+01	2.644990e-03
2.500000e+01	2.636553e-03
2.600000e+01	2.624877e-03
2.700000e+01	2.614363e-03
2.800000e+01	2.604633e-03
2.900000e+01	2.594913e-03
3.000000e+01	2.583667e-03
3.100000e+01	2.571010e-03
3.200000e+01	2.559850e-03
3.300000e+01	2.547050e-03
3.400000e+01	2.535787e-03
3.500000e+01	2.524077e-03
3.600000e+01	2.511147e-03
3.700000e+01	2.498743e-03
3.800000e+01	2.485713e-03
3.900000e+01	2.472303e-03
4.000000e+01	2.457663e-03
4.100000e+01	2.444090e-03
4.200000e+01	2.430907e-03
4.300000e+01	2.417867e-03
4.400000e+01	2.402580e-03
4.500000e+01	2.388533e-03
4.600000e+01	2.372840e-03
4.700000e+01	2.357973e-03
4.800000e+01	2.339893e-03
4.900000e+01	2.323540e-03
5.000000e+01	2.305393e-03
5.100000e+01	2.286130e-03
5.200000e+01	2.266033e-03
5.300000e+01	2.239833e-03
5.400000e+01	2.213330e-03
5.500000e+01	2.181303e-03
5.600000e+01	2.143183e-03
5.700000e+01	2.101080e-03
