Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-1.029673e-03
1.150000e+02	-1.028197e-03
1.100000e+02	-1.026653e-03
1.050000e+02	-1.026173e-03
1.000000e+02	-1.026327e-03
9.500000e+01	-1.024757e-03
9.000000e+01	-1.024223e-03
8.500000e+01	-1.024323e-03
8.000000e+01	-1.023290e-03
7.500000e+01	-1.022050e-03
7.000000e+01	-1.020573e-03
6.500000e+01	-1.020490e-03
6.000000e+01	-1.019113e-03
5.500000e+01	-1.016823e-03
5.000000e+01	-1.016460e-03
4.500000e+01	-1.015743e-03
4.000000e+01	-1.011313e-03
3.500000e+01	-1.008460e-03
3.000000e+01	-1.005557e-03
2.500000e+01	-1.002742e-03
2.000000e+01	-9.981250e-04
1.900000e+01	-9.971617e-04
1.800000e+01	-9.936197e-04
1.700000e+01	-9.936607e-04
1.600000e+01	-9.939873e-04
1.500000e+01	-9.912077e-04
1.400000e+01	-9.901890e-04
1.300000e+01	-9.878310e-04
1.200000e+01	-9.856207e-04
1.100000e+01	-9.845953e-04
1.000000e+01	-9.823997e-04
9.000000e+00	-9.800440e-04
8.000000e+00	-9.785970e-04
7.000000e+00	-9.748893e-04
6.000000e+00	-9.721203e-04
5.000000e+00	-9.720817e-04
4.000000e+00	-9.684930e-04
3.000000e+00	-9.664577e-04
2.000000e+00	-9.623110e-04
1.000000e+00	-9.595420e-04
0.000000e+00	-9.555100e-04
-1.000000e+00	-9.521183e-04
-2.000000e+00	-9.468293e-04
-3.000000e+00	-9.438097e-04
-4.000000e+00	-9.406603e-04
-5.000000e+00	-9.348093e-04
-6.000000e+00	-9.291657e-04
-7.000000e+00	-9.235697e-04
-8.000000e+00	-9.174177e-04
-9.000000e+00	-9.129247e-04
-1.000000e+01	-9.049773e-04
-1.100000e+01	-8.990030e-04
-1.200000e+01	-8.913177e-04
-1.300000e+01	-8.836340e-04
-1.400000e+01	-8.758730e-04
-1.500000e+01	-8.666580e-04
-1.600000e+01	-8.587523e-04
-1.700000e+01	-8.491110e-04
-1.800000e+01	-8.402510e-04
-1.900000e+01	-8.305667e-04
-2.000000e+01	-8.216870e-04
-2.100000e+01	-8.112047e-04
-2.200000e+01	-8.021023e-04
-2.300000e+01	-7.904260e-04
-2.400000e+01	-7.777887e-04
-2.500000e+01	-7.663610e-04
-2.600000e+01	-7.525583e-04
-2.700000e+01	-7.410807e-04
-2.800000e+01	-7.301207e-04
-2.900000e+01	-7.149393e-04
-3.000000e+01	-7.029993e-04
-3.100000e+01	-6.882557e-04
-3.200000e+01	-6.764990e-04
-3.300000e+01	-6.613767e-04
-3.400000e+01	-6.475977e-04
-3.500000e+01	-6.320970e-04
-3.600000e+01	-6.172273e-04
-3.700000e+01	-6.028037e-04
-3.800000e+01	-5.874417e-04
-3.900000e+01	-5.707707e-04
-4.000000e+01	-5.548433e-04
-4.100000e+01	-5.387847e-04
-4.200000e+01	-5.217670e-04
-4.300000e+01	-5.052257e-04
-4.400000e+01	-4.877783e-04
-4.500000e+01	-4.691820e-04
-4.600000e+01	-4.515183e-04
-4.700000e+01	-4.290607e-04
-4.800000e+01	-4.076980e-04
-4.900000e+01	-3.839317e-04
-5.000000e+01	-3.542670e-04
-5.100000e+01	-3.216387e-04
-5.200000e+01	-2.781623e-04
-5.300000e+01	-2.278330e-04
-5.400000e+01	-1.638090e-04
-5.500000e+01	-8.630060e-05
-5.600000e+01	4.812280e-07
-5.700000e+01	1.165277e-04
-5.800000e+01	2.365267e-04
-5.900000e+01	3.592653e-04
-6.000000e+01	5.052587e-04
-6.100000e+01	6.604920e-04
-6.200000e+01	8.207440e-04
-6.300000e+01	9.951553e-04
-6.400000e+01	1.177667e-03
-6.500000e+01	1.351010e-03
-6.600000e+01	1.515363e-03
-6.700000e+01	1.661720e-03
-6.800000e+01	1.791710e-03
-6.900000e+01	1.906477e-03
-7.000000e+01	1.998563e-03
-7.100000e+01	2.076890e-03
