Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-1.750797e-03
1.150000e+02	-1.757940e-03
1.100000e+02	-1.754783e-03
1.050000e+02	-1.754647e-03
1.000000e+02	-1.755130e-03
9.500000e+01	-1.753857e-03
9.000000e+01	-1.752813e-03
8.500000e+01	-1.752263e-03
8.000000e+01	-1.750780e-03
7.500000e+01	-1.750347e-03
7.000000e+01	-1.750590e-03
6.500000e+01	-1.747780e-03
6.000000e+01	-1.745680e-03
5.500000e+01	-1.746597e-03
5.000000e+01	-1.744420e-03
4.500000e+01	-1.741873e-03
4.000000e+01	-1.740637e-03
3.500000e+01	-1.738490e-03
3.000000e+01	-1.734647e-03
2.500000e+01	-1.731830e-03
2.000000e+01	-1.725407e-03
1.900000e+01	-1.725093e-03
1.800000e+01	-1.722260e-03
1.700000e+01	-1.720437e-03
1.600000e+01	-1.719173e-03
1.500000e+01	-1.727290e-03
1.400000e+01	-1.750073e-03
1.300000e+01	-1.721537e-03
1.200000e+01	-1.718857e-03
1.100000e+01	-1.717357e-03
1.000000e+01	-1.716027e-03
9.000000e+00	-1.714983e-03
8.000000e+00	-1.712750e-03
7.000000e+00	-1.712147e-03
6.000000e+00	-1.711970e-03
5.000000e+00	-1.706573e-03
4.000000e+00	-1.705473e-03
3.000000e+00	-1.703193e-03
2.000000e+00	-1.700593e-03
1.000000e+00	-1.697160e-03
0.000000e+00	-1.692420e-03
-1.000000e+00	-1.689817e-03
-2.000000e+00	-1.687157e-03
-3.000000e+00	-1.683920e-03
-4.000000e+00	-1.680170e-03
-5.000000e+00	-1.676613e-03
-6.000000e+00	-1.672233e-03
-7.000000e+00	-1.668680e-03
-8.000000e+00	-1.663867e-03
-9.000000e+00	-1.658577e-03
-1.000000e+01	-1.655390e-03
-1.100000e+01	-1.648003e-03
-1.200000e+01	-1.642967e-03
-1.300000e+01	-1.637007e-03
-1.400000e+01	-1.633710e-03
-1.500000e+01	-1.629697e-03
-1.600000e+01	-1.623917e-03
-1.700000e+01	-1.617360e-03
-1.800000e+01	-1.612470e-03
-1.900000e+01	-1.603990e-03
-2.000000e+01	-1.594350e-03
-2.100000e+01	-1.591393e-03
-2.200000e+01	-1.588587e-03
-2.300000e+01	-1.569490e-03
-2.400000e+01	-1.569807e-03
-2.500000e+01	-1.554900e-03
-2.600000e+01	-1.549100e-03
-2.700000e+01	-1.543073e-03
-2.800000e+01	-1.530217e-03
-2.900000e+01	-1.524050e-03
-3.000000e+01	-1.517027e-03
-3.100000e+01	-1.500337e-03
-3.200000e+01	-1.491263e-03
-3.300000e+01	-1.482500e-03
-3.400000e+01	-1.472697e-03
-3.500000e+01	-1.460027e-03
-3.600000e+01	-1.449407e-03
-3.700000e+01	-1.439600e-03
-3.800000e+01	-1.429413e-03
-3.900000e+01	-1.416593e-03
-4.000000e+01	-1.404047e-03
-4.100000e+01	-1.392110e-03
-4.200000e+01	-1.381063e-03
-4.300000e+01	-1.366513e-03
-4.400000e+01	-1.353833e-03
-4.500000e+01	-1.341393e-03
-4.600000e+01	-1.327040e-03
-4.700000e+01	-1.312073e-03
-4.800000e+01	-1.298240e-03
-4.900000e+01	-1.281800e-03
-5.000000e+01	-1.265783e-03
-5.100000e+01	-1.246147e-03
-5.200000e+01	-1.224603e-03
-5.300000e+01	-1.198510e-03
-5.400000e+01	-1.168470e-03
-5.500000e+01	-1.137073e-03
-5.600000e+01	-1.100670e-03
-5.700000e+01	-1.059140e-03
-5.800000e+01	-1.013523e-03
-5.900000e+01	-9.611860e-04
-6.000000e+01	-9.036560e-04
-6.100000e+01	-8.419533e-04
-6.200000e+01	-7.682193e-04
-6.300000e+01	-6.930060e-04
-6.400000e+01	-6.059363e-04
-6.500000e+01	-5.071273e-04
-6.600000e+01	-4.213797e-04
-6.700000e+01	-3.031720e-04
-6.800000e+01	-1.931150e-04
