Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-3.345033e-03
1.150000e+02	-3.344720e-03
1.100000e+02	-3.343280e-03
1.050000e+02	-3.343613e-03
1.000000e+02	-3.341387e-03
9.500000e+01	-3.340750e-03
9.000000e+01	-3.338693e-03
8.500000e+01	-3.338007e-03
8.000000e+01	-3.336897e-03
7.500000e+01	-3.335850e-03
7.000000e+01	-3.336357e-03
6.500000e+01	-3.333600e-03
6.000000e+01	-3.332103e-03
5.500000e+01	-3.330680e-03
5.000000e+01	-3.328570e-03
4.500000e+01	-3.327337e-03
4.000000e+01	-3.324577e-03
3.500000e+01	-3.321613e-03
3.000000e+01	-3.317103e-03
2.500000e+01	-3.313723e-03
2.000000e+01	-3.309297e-03
1.900000e+01	-3.307637e-03
1.800000e+01	-3.304680e-03
1.700000e+01	-3.304443e-03
1.600000e+01	-3.304133e-03
1.500000e+01	-3.302407e-03
1.400000e+01	-3.298853e-03
1.300000e+01	-3.299300e-03
1.200000e+01	-3.297530e-03
1.100000e+01	-3.295907e-03
1.000000e+01	-3.291820e-03
9.000000e+00	-3.290040e-03
8.000000e+00	-3.288600e-03
7.000000e+00	-3.288097e-03
6.000000e+00	-3.287340e-03
5.000000e+00	-3.281607e-03
4.000000e+00	-3.282983e-03
3.000000e+00	-3.276497e-03
2.000000e+00	-3.276267e-03
1.000000e+00	-3.272667e-03
0.000000e+00	-3.269867e-03
-1.000000e+00	-3.264653e-03
-2.000000e+00	-3.260380e-03
-3.000000e+00	-3.258900e-03
-4.000000e+00	-3.254237e-03
-5.000000e+00	-3.250720e-03
-6.000000e+00	-3.247060e-03
-7.000000e+00	-3.242043e-03
-8.000000e+00	-3.235863e-03
-9.000000e+00	-3.231493e-03
-1.000000e+01	-3.226310e-03
-1.100000e+01	-3.220993e-03
-1.200000e+01	-3.215507e-03
-1.300000e+01	-3.209283e-03
-1.400000e+01	-3.203723e-03
-1.500000e+01	-3.197517e-03
-1.600000e+01	-3.191523e-03
-1.700000e+01	-3.183933e-03
-1.800000e+01	-3.175970e-03
-1.900000e+01	-3.169430e-03
-2.000000e+01	-3.160930e-03
-2.100000e+01	-3.153990e-03
-2.200000e+01	-3.146157e-03
-2.300000e+01	-3.135903e-03
-2.400000e+01	-3.126560e-03
-2.500000e+01	-3.119477e-03
-2.600000e+01	-3.109103e-03
-2.700000e+01	-3.098673e-03
-2.800000e+01	-3.090643e-03
-2.900000e+01	-3.080120e-03
-3.000000e+01	-3.070827e-03
-3.100000e+01	-3.059563e-03
-3.200000e+01	-3.048650e-03
-3.300000e+01	-3.037883e-03
-3.400000e+01	-3.026673e-03
-3.500000e+01	-3.014673e-03
-3.600000e+01	-3.002487e-03
-3.700000e+01	-2.989807e-03
-3.800000e+01	-2.977423e-03
-3.900000e+01	-2.965313e-03
-4.000000e+01	-2.952090e-03
-4.100000e+01	-2.939570e-03
-4.200000e+01	-2.927173e-03
-4.300000e+01	-2.913563e-03
-4.400000e+01	-2.901557e-03
-4.500000e+01	-2.885960e-03
-4.600000e+01	-2.874127e-03
-4.700000e+01	-2.860213e-03
-4.800000e+01	-2.844277e-03
-4.900000e+01	-2.829577e-03
-5.000000e+01	-2.813920e-03
-5.100000e+01	-2.797557e-03
-5.200000e+01	-2.780173e-03
-5.300000e+01	-2.765397e-03
-5.400000e+01	-2.745090e-03
-5.500000e+01	-2.724893e-03
-5.600000e+01	-2.702360e-03
-5.700000e+01	-2.676550e-03
-5.800000e+01	-2.645517e-03
-5.900000e+01	-2.613657e-03
-6.000000e+01	-2.571443e-03
-6.100000e+01	-2.519503e-03
-6.200000e+01	-2.456463e-03
-6.300000e+01	-2.378247e-03
-6.400000e+01	-2.287190e-03
-6.500000e+01	-2.172840e-03
-6.600000e+01	-2.045453e-03
-6.700000e+01	-1.895060e-03
-6.800000e+01	-1.732560e-03
-6.900000e+01	-1.566303e-03
-7.000000e+01	-1.402530e-03
-7.100000e+01	-1.230650e-03
-7.200000e+01	-1.072953e-03
-7.300000e+01	-9.186117e-04
-7.400000e+01	-7.732270e-04
-7.500000e+01	-6.396980e-04
-7.600000e+01	-5.154897e-04
-7.700000e+01	-4.115610e-04
-7.800000e+01	-3.212947e-04
-7.900000e+01	-2.460357e-04
-8.000000e+01	-1.846853e-04
-8.100000e+01	-1.369243e-04
-8.200000e+01	-9.944803e-05
-8.300000e+01	-6.876643e-05
-8.400000e+01	-4.545890e-05
-8.500000e+01	-2.609907e-05
-8.600000e+01	-1.481200e-05
-8.700000e+01	-2.648793e-06
-8.800000e+01	5.428252e-06
-8.900000e+01	1.305754e-05
-9.000000e+01	1.638877e-05
-9.500000e+01	3.335833e-05
-1.000000e+02	4.138567e-05
-1.050000e+02	4.300583e-05
-1.100000e+02	4.522950e-05
-1.150000e+02	4.734070e-05
-1.200000e+02	4.882030e-05
-1.150000e+02	4.822323e-05
-1.100000e+02	4.876187e-05
-1.050000e+02	4.833357e-05
-1.000000e+02	4.774090e-05
-9.500000e+01	4.627430e-05
-9.000000e+01	4.607097e-05
-8.500000e+01	4.451570e-05
-8.000000e+01	4.433400e-05
-7.500000e+01	4.244557e-05
-7.000000e+01	4.184423e-05
-6.500000e+01	3.996017e-05
-6.000000e+01	3.929393e-05
-5.500000e+01	3.715680e-05
-5.000000e+01	3.591083e-05
-4.500000e+01	3.377367e-05
-4.000000e+01	3.217080e-05
-3.500000e+01	2.939773e-05
-3.000000e+01	2.502173e-05
-2.500000e+01	2.118653e-05
-2.000000e+01	1.722157e-05
-1.900000e+01	1.663967e-05
-1.800000e+01	1.472747e-05
-1.700000e+01	1.357021e-05
-1.600000e+01	1.395093e-05
-1.500000e+01	1.242590e-05
-1.400000e+01	1.043371e-05
-1.300000e+01	9.127207e-06
-1.200000e+01	7.667083e-06
-1.100000e+01	6.377863e-06
-1.000000e+01	3.754015e-06
-9.000000e+00	5.030253e-06
-8.000000e+00	1.811545e-06
-7.000000e+00	-4.986613e-07
-6.000000e+00	-5.527373e-07
-5.000000e+00	-2.309183e-06
-4.000000e+00	-5.253177e-06
-3.000000e+00	-6.862533e-06
-2.000000e+00	-9.311177e-06
-1.000000e+00	-1.310093e-05
0.000000e+00	-1.467350e-05
1.000000e+00	-1.725847e-05
2.000000e+00	-1.843300e-05
3.000000e+00	-2.240883e-05
4.000000e+00	-2.629810e-05
5.000000e+00	-2.899550e-05
6.000000e+00	-3.193950e-05
7.000000e+00	-3.772363e-05
8.000000e+00	-4.123437e-05
9.000000e+00	-4.302543e-05
1.000000e+01	-4.815847e-05
1.100000e+01	-5.196773e-05
1.200000e+01	-5.709860e-05
1.300000e+01	-6.197860e-05
1.400000e+01	-6.609500e-05
1.500000e+01	-7.199600e-05
1.600000e+01	-7.816517e-05
1.700000e+01	-8.298673e-05
1.800000e+01	-8.780183e-05
1.900000e+01	-9.358827e-05
2.000000e+01	-9.961667e-05
2.100000e+01	-1.062859e-04
2.200000e+01	-1.128267e-04
2.300000e+01	-1.200863e-04
2.400000e+01	-1.264263e-04
2.500000e+01	-1.346787e-04
2.600000e+01	-1.432403e-04
2.700000e+01	-1.502510e-04
2.800000e+01	-1.594310e-04
2.900000e+01	-1.678130e-04
3.000000e+01	-1.753907e-04
3.100000e+01	-1.848327e-04
3.200000e+01	-1.933140e-04
3.300000e+01	-2.029377e-04
3.400000e+01	-2.127193e-04
3.500000e+01	-2.218173e-04
3.600000e+01	-2.314583e-04
3.700000e+01	-2.416317e-04
3.800000e+01	-2.512987e-04
3.900000e+01	-2.625813e-04
4.000000e+01	-2.730420e-04
4.100000e+01	-2.826547e-04
4.200000e+01	-2.941647e-04
4.300000e+01	-3.070267e-04
4.400000e+01	-3.186990e-04
4.500000e+01	-3.316387e-04
4.600000e+01	-3.446433e-04
4.700000e+01	-3.559887e-04
4.800000e+01	-3.700273e-04
4.900000e+01	-3.827700e-04
5.000000e+01	-3.942673e-04
5.100000e+01	-4.095927e-04
5.200000e+01	-4.233827e-04
5.300000e+01	-4.391150e-04
5.400000e+01	-4.550893e-04
5.500000e+01	-4.711460e-04
5.600000e+01	-4.910380e-04
5.700000e+01	-5.121763e-04
5.800000e+01	-5.374560e-04
5.900000e+01	-5.650340e-04
6.000000e+01	-5.961700e-04
6.100000e+01	-6.352853e-04
6.200000e+01	-6.805700e-04
6.300000e+01	-7.462767e-04
6.400000e+01	-8.160910e-04
6.500000e+01	-9.082610e-04
6.600000e+01	-1.022050e-03
6.700000e+01	-1.151560e-03
6.800000e+01	-1.297243e-03
6.900000e+01	-1.463337e-03
7.000000e+01	-1.637523e-03
7.100000e+01	-1.814650e-03
7.200000e+01	-1.988113e-03
7.300000e+01	-2.166603e-03
7.400000e+01	-2.333290e-03
7.500000e+01	-2.480133e-03
7.600000e+01	-2.621133e-03
7.700000e+01	-2.746507e-03
7.800000e+01	-2.860353e-03
7.900000e+01	-2.953673e-03
8.000000e+01	-3.035100e-03
8.100000e+01	-3.102493e-03
8.200000e+01	-3.153567e-03
8.300000e+01	-3.193437e-03
8.400000e+01	-3.225140e-03
8.500000e+01	-3.246437e-03
8.600000e+01	-3.265843e-03
8.700000e+01	-3.279343e-03
8.800000e+01	-3.289357e-03
8.900000e+01	-3.297670e-03
9.000000e+01	-3.304767e-03
9.500000e+01	-3.322140e-03
1.000000e+02	-3.329003e-03
1.050000e+02	-3.334353e-03
1.100000e+02	-3.337037e-03
1.150000e+02	-3.338110e-03
1.200000e+02	-3.339670e-03
