Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-3.034620e-03
1.150000e+02	-3.041150e-03
1.100000e+02	-3.040397e-03
1.050000e+02	-3.038243e-03
1.000000e+02	-3.038037e-03
9.500000e+01	-3.038227e-03
9.000000e+01	-3.036397e-03
8.500000e+01	-3.034040e-03
8.000000e+01	-3.035770e-03
7.500000e+01	-3.034100e-03
7.000000e+01	-3.030610e-03
6.500000e+01	-3.031433e-03
6.000000e+01	-3.028400e-03
5.500000e+01	-3.026663e-03
5.000000e+01	-3.024997e-03
4.500000e+01	-3.022097e-03
4.000000e+01	-3.019407e-03
3.500000e+01	-3.016743e-03
3.000000e+01	-3.012203e-03
2.500000e+01	-3.007670e-03
2.000000e+01	-3.003827e-03
1.900000e+01	-3.001630e-03
1.800000e+01	-3.000800e-03
1.700000e+01	-2.999597e-03
1.600000e+01	-2.998533e-03
1.500000e+01	-2.998517e-03
1.400000e+01	-2.994960e-03
1.300000e+01	-2.993037e-03
1.200000e+01	-2.992780e-03
1.100000e+01	-2.990950e-03
1.000000e+01	-2.990013e-03
9.000000e+00	-2.989880e-03
8.000000e+00	-2.987130e-03
7.000000e+00	-2.985970e-03
6.000000e+00	-2.982937e-03
5.000000e+00	-2.981083e-03
4.000000e+00	-2.979737e-03
3.000000e+00	-2.975540e-03
2.000000e+00	-2.972967e-03
1.000000e+00	-2.970630e-03
0.000000e+00	-2.966060e-03
-1.000000e+00	-2.964330e-03
-2.000000e+00	-2.961377e-03
-3.000000e+00	-2.957637e-03
-4.000000e+00	-2.953373e-03
-5.000000e+00	-2.948433e-03
-6.000000e+00	-2.945747e-03
-7.000000e+00	-2.940863e-03
-8.000000e+00	-2.937027e-03
-9.000000e+00	-2.933560e-03
-1.000000e+01	-2.928297e-03
-1.100000e+01	-2.924593e-03
-1.200000e+01	-2.920813e-03
-1.300000e+01	-2.915610e-03
-1.400000e+01	-2.911240e-03
-1.500000e+01	-2.904007e-03
-1.600000e+01	-2.898493e-03
-1.700000e+01	-2.892080e-03
-1.800000e+01	-2.887197e-03
-1.900000e+01	-2.881263e-03
-2.000000e+01	-2.876067e-03
-2.100000e+01	-2.868240e-03
-2.200000e+01	-2.862487e-03
-2.300000e+01	-2.856633e-03
-2.400000e+01	-2.849233e-03
-2.500000e+01	-2.840343e-03
-2.600000e+01	-2.832457e-03
-2.700000e+01	-2.823867e-03
-2.800000e+01	-2.815943e-03
-2.900000e+01	-2.809350e-03
-3.000000e+01	-2.800197e-03
-3.100000e+01	-2.789750e-03
-3.200000e+01	-2.781530e-03
-3.300000e+01	-2.770297e-03
-3.400000e+01	-2.764793e-03
-3.500000e+01	-2.760330e-03
-3.600000e+01	-2.744807e-03
-3.700000e+01	-2.806040e-03
-3.800000e+01	-2.731197e-03
-3.900000e+01	-2.717773e-03
-4.000000e+01	-2.704330e-03
-4.100000e+01	-2.692480e-03
-4.200000e+01	-2.678567e-03
-4.300000e+01	-2.668320e-03
-4.400000e+01	-2.656397e-03
-4.500000e+01	-2.643683e-03
-4.600000e+01	-2.632720e-03
-4.700000e+01	-2.620710e-03
-4.800000e+01	-2.608850e-03
-4.900000e+01	-2.594703e-03
-5.000000e+01	-2.582133e-03
-5.100000e+01	-2.568330e-03
-5.200000e+01	-2.555690e-03
-5.300000e+01	-2.541537e-03
-5.400000e+01	-2.524790e-03
-5.500000e+01	-2.509180e-03
-5.600000e+01	-2.487547e-03
-5.700000e+01	-2.468657e-03
-5.800000e+01	-2.440237e-03
-5.900000e+01	-2.412643e-03
-6.000000e+01	-2.384077e-03
-6.100000e+01	-2.341030e-03
-6.200000e+01	-2.301213e-03
-6.300000e+01	-2.246763e-03
-6.400000e+01	-2.180970e-03
-6.500000e+01	-2.101627e-03
-6.600000e+01	-2.010873e-03
-6.700000e+01	-1.911037e-03
-6.800000e+01	-1.794663e-03
-6.900000e+01	-1.673067e-03
-7.000000e+01	-1.529357e-03
-7.100000e+01	-1.390393e-03
-7.200000e+01	-1.241463e-03
-7.300000e+01	-1.096833e-03
-7.400000e+01	-9.457200e-04
-7.500000e+01	-7.959353e-04
-7.600000e+01	-6.485513e-04
-7.700000e+01	-5.094680e-04
-7.800000e+01	-3.733240e-04
-7.900000e+01	-2.428037e-04
-8.000000e+01	-1.424787e-04
-8.100000e+01	-4.961423e-05
-8.200000e+01	2.427763e-05
-8.300000e+01	8.720467e-05
-8.400000e+01	1.350007e-04
-8.500000e+01	1.774040e-04
-8.600000e+01	2.124057e-04
-8.700000e+01	2.353217e-04
-8.800000e+01	2.585190e-04
-8.900000e+01	2.724147e-04
-9.000000e+01	2.838163e-04
-9.500000e+01	3.162327e-04
-1.000000e+02	3.249567e-04
-1.050000e+02	3.313117e-04
-1.100000e+02	3.345717e-04
-1.150000e+02	3.366657e-04
-1.200000e+02	3.374617e-04
-1.150000e+02	3.350367e-04
-1.100000e+02	3.348030e-04
-1.050000e+02	3.357680e-04
-1.000000e+02	3.335203e-04
-9.500000e+01	3.337020e-04
-9.000000e+01	3.323803e-04
-8.500000e+01	3.301957e-04
-8.000000e+01	3.319760e-04
-7.500000e+01	3.295727e-04
-7.000000e+01	3.286880e-04
-6.500000e+01	3.287527e-04
-6.000000e+01	3.274483e-04
-5.500000e+01	3.259213e-04
-5.000000e+01	3.232910e-04
-4.500000e+01	3.229620e-04
-4.000000e+01	3.190707e-04
-3.500000e+01	3.151530e-04
-3.000000e+01	3.119737e-04
-2.500000e+01	3.074400e-04
-2.000000e+01	3.028843e-04
-1.900000e+01	3.012877e-04
-1.800000e+01	3.002840e-04
-1.700000e+01	2.994147e-04
-1.600000e+01	2.954757e-04
-1.500000e+01	2.965790e-04
-1.400000e+01	2.942530e-04
-1.300000e+01	2.931067e-04
-1.200000e+01	2.914110e-04
-1.100000e+01	2.899553e-04
-1.000000e+01	2.900853e-04
-9.000000e+00	2.876513e-04
-8.000000e+00	2.842880e-04
-7.000000e+00	2.824623e-04
-6.000000e+00	2.823930e-04
-5.000000e+00	2.795463e-04
-4.000000e+00	2.789497e-04
-3.000000e+00	2.769807e-04
-2.000000e+00	2.750407e-04
-1.000000e+00	2.724750e-04
0.000000e+00	2.688757e-04
1.000000e+00	2.666847e-04
2.000000e+00	2.646123e-04
3.000000e+00	2.623087e-04
4.000000e+00	2.581013e-04
5.000000e+00	2.554127e-04
6.000000e+00	2.521180e-04
7.000000e+00	2.487693e-04
8.000000e+00	2.446853e-04
9.000000e+00	2.407707e-04
1.000000e+01	2.373333e-04
1.100000e+01	2.332473e-04
1.200000e+01	2.302923e-04
1.300000e+01	2.234073e-04
1.400000e+01	2.183777e-04
1.500000e+01	2.144583e-04
1.600000e+01	2.088840e-04
1.700000e+01	2.045537e-04
1.800000e+01	1.998123e-04
1.900000e+01	1.920293e-04
2.000000e+01	1.864807e-04
2.100000e+01	1.810190e-04
2.200000e+01	1.749860e-04
2.300000e+01	1.680423e-04
2.400000e+01	1.606250e-04
2.500000e+01	1.531083e-04
2.600000e+01	1.475210e-04
2.700000e+01	1.405880e-04
2.800000e+01	1.317087e-04
2.900000e+01	1.243083e-04
3.000000e+01	1.149790e-04
3.100000e+01	1.094590e-04
3.200000e+01	1.004127e-04
3.300000e+01	9.258650e-05
3.400000e+01	8.249127e-05
3.500000e+01	7.439043e-05
3.600000e+01	6.365060e-05
3.700000e+01	5.383870e-05
3.800000e+01	4.523600e-05
3.900000e+01	3.487253e-05
4.000000e+01	2.561230e-05
4.100000e+01	1.501083e-05
4.200000e+01	3.286787e-06
4.300000e+01	-6.704619e-06
4.400000e+01	-1.626343e-05
4.500000e+01	-2.629160e-05
4.600000e+01	-3.713310e-05
4.700000e+01	-4.922493e-05
4.800000e+01	-6.062880e-05
4.900000e+01	-7.267950e-05
5.000000e+01	-8.636120e-05
5.100000e+01	-9.807873e-05
5.200000e+01	-1.115287e-04
5.300000e+01	-1.265107e-04
5.400000e+01	-1.422190e-04
5.500000e+01	-1.578370e-04
5.600000e+01	-1.769523e-04
5.700000e+01	-2.000477e-04
5.800000e+01	-2.229917e-04
5.900000e+01	-2.495333e-04
6.000000e+01	-2.786313e-04
6.100000e+01	-3.168490e-04
6.200000e+01	-3.593350e-04
6.300000e+01	-4.097423e-04
6.400000e+01	-4.705947e-04
6.500000e+01	-5.467040e-04
6.600000e+01	-6.348093e-04
6.700000e+01	-7.305337e-04
6.800000e+01	-8.361627e-04
6.900000e+01	-9.561807e-04
7.000000e+01	-1.093217e-03
7.100000e+01	-1.233353e-03
7.200000e+01	-1.381587e-03
7.300000e+01	-1.524990e-03
7.400000e+01	-1.672753e-03
7.500000e+01	-1.821717e-03
7.600000e+01	-1.973850e-03
7.700000e+01	-2.122133e-03
7.800000e+01	-2.263980e-03
7.900000e+01	-2.397110e-03
8.000000e+01	-2.511577e-03
8.100000e+01	-2.607540e-03
8.200000e+01	-2.692177e-03
8.300000e+01	-2.764023e-03
8.400000e+01	-2.817240e-03
8.500000e+01	-2.861930e-03
8.600000e+01	-2.895340e-03
8.700000e+01	-2.923210e-03
8.800000e+01	-2.942553e-03
8.900000e+01	-2.960030e-03
9.000000e+01	-2.970763e-03
9.500000e+01	-3.005500e-03
1.000000e+02	-3.016723e-03
1.050000e+02	-3.021533e-03
1.100000e+02	-3.024777e-03
1.150000e+02	-3.027883e-03
1.200000e+02	-3.027627e-03
