Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-6.035267e-04
1.150000e+02	-6.036367e-04
1.100000e+02	-6.034357e-04
1.050000e+02	-6.016900e-04
1.000000e+02	-6.017247e-04
9.500000e+01	-6.007793e-04
9.000000e+01	-6.035893e-04
8.500000e+01	-5.996523e-04
8.000000e+01	-5.991290e-04
7.500000e+01	-6.005177e-04
7.000000e+01	-5.989277e-04
6.500000e+01	-5.996717e-04
6.000000e+01	-5.976710e-04
5.500000e+01	-5.969767e-04
5.000000e+01	-5.923280e-04
4.500000e+01	-5.909997e-04
4.000000e+01	-5.879650e-04
3.500000e+01	-5.846123e-04
3.000000e+01	-5.814757e-04
2.500000e+01	-5.761957e-04
2.000000e+01	-5.735500e-04
1.900000e+01	-5.698770e-04
1.800000e+01	-5.692477e-04
1.700000e+01	-5.672100e-04
1.600000e+01	-5.664550e-04
1.500000e+01	-5.659723e-04
1.400000e+01	-5.662993e-04
1.300000e+01	-5.647787e-04
1.200000e+01	-5.627583e-04
1.100000e+01	-5.617723e-04
1.000000e+01	-5.604653e-04
9.000000e+00	-5.593623e-04
8.000000e+00	-5.580923e-04
7.000000e+00	-5.558083e-04
6.000000e+00	-5.538267e-04
5.000000e+00	-5.545017e-04
4.000000e+00	-5.555117e-04
3.000000e+00	-5.515320e-04
2.000000e+00	-5.504610e-04
1.000000e+00	-5.460960e-04
0.000000e+00	-5.432727e-04
-1.000000e+00	-5.380620e-04
-2.000000e+00	-5.335497e-04
-3.000000e+00	-5.276793e-04
-4.000000e+00	-5.230977e-04
-5.000000e+00	-5.173483e-04
-6.000000e+00	-5.130693e-04
-7.000000e+00	-5.053060e-04
-8.000000e+00	-5.008067e-04
-9.000000e+00	-4.935277e-04
-1.000000e+01	-4.881570e-04
-1.100000e+01	-4.807613e-04
-1.200000e+01	-4.741943e-04
-1.300000e+01	-4.682543e-04
-1.400000e+01	-4.601490e-04
-1.500000e+01	-4.525847e-04
-1.600000e+01	-4.444687e-04
-1.700000e+01	-4.334433e-04
-1.800000e+01	-4.244447e-04
-1.900000e+01	-4.147883e-04
-2.000000e+01	-4.034927e-04
-2.100000e+01	-3.931033e-04
-2.200000e+01	-3.820087e-04
-2.300000e+01	-3.705313e-04
-2.400000e+01	-3.600640e-04
-2.500000e+01	-3.488720e-04
-2.600000e+01	-3.356340e-04
-2.700000e+01	-3.220103e-04
-2.800000e+01	-3.103620e-04
-2.900000e+01	-2.966177e-04
-3.000000e+01	-2.805953e-04
-3.100000e+01	-2.700503e-04
-3.200000e+01	-2.562410e-04
-3.300000e+01	-2.418607e-04
-3.400000e+01	-2.258947e-04
-3.500000e+01	-2.117697e-04
-3.600000e+01	-1.959510e-04
-3.700000e+01	-1.794810e-04
