Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-3.108287e-03
1.150000e+02	-3.109677e-03
1.100000e+02	-3.106990e-03
1.050000e+02	-3.107450e-03
1.000000e+02	-3.107330e-03
9.500000e+01	-3.105767e-03
9.000000e+01	-3.104477e-03
8.500000e+01	-3.103963e-03
8.000000e+01	-3.100900e-03
7.500000e+01	-3.100837e-03
7.000000e+01	-3.101317e-03
6.500000e+01	-3.098297e-03
6.000000e+01	-3.097083e-03
5.500000e+01	-3.095893e-03
5.000000e+01	-3.094240e-03
4.500000e+01	-3.092523e-03
4.000000e+01	-3.089450e-03
3.500000e+01	-3.087730e-03
3.000000e+01	-3.084503e-03
2.500000e+01	-3.081860e-03
2.000000e+01	-3.074927e-03
1.900000e+01	-3.074867e-03
1.800000e+01	-3.071767e-03
1.700000e+01	-3.070767e-03
1.600000e+01	-3.072643e-03
1.500000e+01	-3.070083e-03
1.400000e+01	-3.067270e-03
1.300000e+01	-3.063693e-03
1.200000e+01	-3.063930e-03
1.100000e+01	-3.062927e-03
1.000000e+01	-3.059350e-03
9.000000e+00	-3.055537e-03
8.000000e+00	-3.055253e-03
7.000000e+00	-3.051457e-03
6.000000e+00	-3.049960e-03
5.000000e+00	-3.049407e-03
4.000000e+00	-3.046963e-03
3.000000e+00	-3.042143e-03
2.000000e+00	-3.040887e-03
1.000000e+00	-3.039833e-03
0.000000e+00	-3.035053e-03
-1.000000e+00	-3.032557e-03
-2.000000e+00	-3.030270e-03
-3.000000e+00	-3.027587e-03
-4.000000e+00	-3.023003e-03
-5.000000e+00	-3.019697e-03
-6.000000e+00	-3.014267e-03
-7.000000e+00	-3.008610e-03
-8.000000e+00	-3.006177e-03
-9.000000e+00	-2.999213e-03
-1.000000e+01	-2.992873e-03
-1.100000e+01	-2.987580e-03
-1.200000e+01	-2.980997e-03
-1.300000e+01	-2.975350e-03
-1.400000e+01	-2.968570e-03
-1.500000e+01	-2.962640e-03
-1.600000e+01	-2.955617e-03
-1.700000e+01	-2.953260e-03
-1.800000e+01	-2.945067e-03
-1.900000e+01	-2.937983e-03
-2.000000e+01	-2.929160e-03
-2.100000e+01	-2.921407e-03
-2.200000e+01	-2.913820e-03
-2.300000e+01	-2.905700e-03
-2.400000e+01	-2.898247e-03
-2.500000e+01	-2.889683e-03
-2.600000e+01	-2.878403e-03
-2.700000e+01	-2.871153e-03
-2.800000e+01	-2.859333e-03
-2.900000e+01	-2.849930e-03
-3.000000e+01	-2.837673e-03
-3.100000e+01	-2.825977e-03
-3.200000e+01	-2.811897e-03
-3.300000e+01	-2.800720e-03
-3.400000e+01	-2.790217e-03
-3.500000e+01	-2.776773e-03
-3.600000e+01	-2.765047e-03
-3.700000e+01	-2.751373e-03
-3.800000e+01	-2.737473e-03
-3.900000e+01	-2.722600e-03
-4.000000e+01	-2.711947e-03
-4.100000e+01	-2.698310e-03
-4.200000e+01	-2.684773e-03
-4.300000e+01	-2.670157e-03
-4.400000e+01	-2.656553e-03
-4.500000e+01	-2.644810e-03
-4.600000e+01	-2.630603e-03
-4.700000e+01	-2.615997e-03
-4.800000e+01	-2.601287e-03
-4.900000e+01	-2.584977e-03
-5.000000e+01	-2.569653e-03
-5.100000e+01	-2.553750e-03
-5.200000e+01	-2.536393e-03
-5.300000e+01	-2.515390e-03
-5.400000e+01	-2.496243e-03
-5.500000e+01	-2.475023e-03
-5.600000e+01	-2.450873e-03
-5.700000e+01	-2.421737e-03
-5.800000e+01	-2.387937e-03
-5.900000e+01	-2.345883e-03
-6.000000e+01	-2.296373e-03
-6.100000e+01	-2.233157e-03
-6.200000e+01	-2.156540e-03
-6.300000e+01	-2.067880e-03
-6.400000e+01	-1.953497e-03
-6.500000e+01	-1.819410e-03
-6.600000e+01	-1.668067e-03
-6.700000e+01	-1.508400e-03
-6.800000e+01	-1.341490e-03
-6.900000e+01	-1.163033e-03
-7.000000e+01	-9.869590e-04
-7.100000e+01	-8.172873e-04
-7.200000e+01	-6.538640e-04
-7.300000e+01	-5.073393e-04
-7.400000e+01	-3.738040e-04
-7.500000e+01	-2.514477e-04
-7.600000e+01	-1.505993e-04
-7.700000e+01	-5.770213e-05
-7.800000e+01	1.141791e-05
-7.900000e+01	6.876847e-05
-8.000000e+01	1.148257e-04
-8.100000e+01	1.514210e-04
-8.200000e+01	1.787847e-04
-8.300000e+01	2.005800e-04
-8.400000e+01	2.164633e-04
-8.500000e+01	2.305217e-04
-8.600000e+01	2.398773e-04
-8.700000e+01	2.471173e-04
-8.800000e+01	2.557847e-04
-8.900000e+01	2.608850e-04
-9.000000e+01	2.659213e-04
-9.500000e+01	2.785013e-04
-1.000000e+02	2.841773e-04
-1.050000e+02	2.877487e-04
-1.100000e+02	2.908660e-04
-1.150000e+02	2.918913e-04
-1.200000e+02	2.933923e-04
-1.150000e+02	2.922677e-04
-1.100000e+02	2.933407e-04
-1.050000e+02	2.922223e-04
-1.000000e+02	2.916403e-04
-9.500000e+01	2.885730e-04
-9.000000e+01	2.872727e-04
-8.500000e+01	2.865503e-04
-8.000000e+01	2.847380e-04
-7.500000e+01	2.856160e-04
-7.000000e+01	2.848180e-04
-6.500000e+01	2.849433e-04
-6.000000e+01	2.841923e-04
-5.500000e+01	2.842230e-04
-5.000000e+01	2.829060e-04
-4.500000e+01	2.790943e-04
-4.000000e+01	2.782830e-04
-3.500000e+01	2.739700e-04
-3.000000e+01	2.712833e-04
-2.500000e+01	2.658860e-04
-2.000000e+01	2.614950e-04
-1.900000e+01	2.594467e-04
-1.800000e+01	2.600070e-04
-1.700000e+01	2.596697e-04
-1.600000e+01	2.564897e-04
-1.500000e+01	2.587673e-04
-1.400000e+01	2.554537e-04
-1.300000e+01	2.552653e-04
-1.200000e+01	2.531347e-04
-1.100000e+01	2.530093e-04
-1.000000e+01	2.525640e-04
-9.000000e+00	2.477077e-04
-8.000000e+00	2.476883e-04
-7.000000e+00	2.463793e-04
-6.000000e+00	2.431303e-04
-5.000000e+00	2.426243e-04
-4.000000e+00	2.399227e-04
-3.000000e+00	2.389233e-04
-2.000000e+00	2.348303e-04
-1.000000e+00	2.316920e-04
0.000000e+00	2.294790e-04
1.000000e+00	2.264853e-04
2.000000e+00	2.245820e-04
3.000000e+00	2.213520e-04
4.000000e+00	2.175063e-04
5.000000e+00	2.148347e-04
