Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-3.451537e-03
1.150000e+02	-3.453820e-03
1.100000e+02	-3.454793e-03
1.050000e+02	-3.450370e-03
1.000000e+02	-3.451663e-03
9.500000e+01	-3.450553e-03
9.000000e+01	-3.449213e-03
8.500000e+01	-3.449127e-03
8.000000e+01	-3.448240e-03
7.500000e+01	-3.446977e-03
7.000000e+01	-3.446827e-03
6.500000e+01	-3.444933e-03
6.000000e+01	-3.443907e-03
5.500000e+01	-3.443370e-03
5.000000e+01	-3.440070e-03
4.500000e+01	-3.436813e-03
4.000000e+01	-3.435213e-03
3.500000e+01	-3.430870e-03
3.000000e+01	-3.429000e-03
2.500000e+01	-3.422257e-03
2.000000e+01	-3.418203e-03
1.900000e+01	-3.414863e-03
1.800000e+01	-3.415027e-03
1.700000e+01	-3.413450e-03
1.600000e+01	-3.410677e-03
1.500000e+01	-3.412443e-03
1.400000e+01	-3.410207e-03
1.300000e+01	-3.408697e-03
1.200000e+01	-3.405597e-03
1.100000e+01	-3.404370e-03
1.000000e+01	-3.402200e-03
9.000000e+00	-3.399403e-03
8.000000e+00	-3.399560e-03
7.000000e+00	-3.396937e-03
6.000000e+00	-3.393870e-03
5.000000e+00	-3.391697e-03
4.000000e+00	-3.389483e-03
3.000000e+00	-3.388590e-03
2.000000e+00	-3.378413e-03
1.000000e+00	-3.380630e-03
0.000000e+00	-3.376997e-03
-1.000000e+00	-3.373720e-03
-2.000000e+00	-3.371323e-03
-3.000000e+00	-3.374187e-03
-4.000000e+00	-3.364550e-03
-5.000000e+00	-3.362983e-03
-6.000000e+00	-3.350637e-03
-7.000000e+00	-3.360447e-03
-8.000000e+00	-3.346087e-03
-9.000000e+00	-3.341457e-03
-1.000000e+01	-3.328723e-03
-1.100000e+01	-3.330970e-03
-1.200000e+01	-3.323370e-03
-1.300000e+01	-3.320023e-03
-1.400000e+01	-3.307287e-03
-1.500000e+01	-3.304567e-03
-1.600000e+01	-3.317827e-03
-1.700000e+01	-3.306500e-03
-1.800000e+01	-3.293107e-03
-1.900000e+01	-3.281580e-03
-2.000000e+01	-3.275893e-03
-2.100000e+01	-3.265297e-03
-2.200000e+01	-3.257257e-03
-2.300000e+01	-3.250377e-03
-2.400000e+01	-3.240643e-03
-2.500000e+01	-3.232447e-03
-2.600000e+01	-3.224140e-03
-2.700000e+01	-3.216453e-03
-2.800000e+01	-3.204783e-03
-2.900000e+01	-3.195583e-03
-3.000000e+01	-3.183747e-03
-3.100000e+01	-3.175950e-03
-3.200000e+01	-3.163680e-03
-3.300000e+01	-3.154207e-03
-3.400000e+01	-3.142340e-03
-3.500000e+01	-3.130823e-03
-3.600000e+01	-3.117677e-03
-3.700000e+01	-3.109140e-03
-3.800000e+01	-3.093587e-03
-3.900000e+01	-3.087083e-03
-4.000000e+01	-3.073543e-03
-4.100000e+01	-3.063017e-03
-4.200000e+01	-3.051883e-03
-4.300000e+01	-3.040083e-03
-4.400000e+01	-3.027113e-03
-4.500000e+01	-3.012757e-03
-4.600000e+01	-2.999267e-03
-4.700000e+01	-2.984073e-03
-4.800000e+01	-2.969920e-03
-4.900000e+01	-2.954420e-03
-5.000000e+01	-2.938413e-03
-5.100000e+01	-2.918900e-03
