Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-2.459697e-03
1.150000e+02	-2.460687e-03
1.100000e+02	-2.458387e-03
1.050000e+02	-2.460847e-03
1.000000e+02	-2.458743e-03
9.500000e+01	-2.457087e-03
9.000000e+01	-2.456270e-03
8.500000e+01	-2.454427e-03
8.000000e+01	-2.456430e-03
7.500000e+01	-2.454263e-03
7.000000e+01	-2.450030e-03
6.500000e+01	-2.452467e-03
6.000000e+01	-2.449280e-03
5.500000e+01	-2.449990e-03
5.000000e+01	-2.447153e-03
4.500000e+01	-2.447193e-03
4.000000e+01	-2.441850e-03
3.500000e+01	-2.441403e-03
3.000000e+01	-2.437820e-03
2.500000e+01	-2.436177e-03
2.000000e+01	-2.431140e-03
1.900000e+01	-2.431737e-03
1.800000e+01	-2.431040e-03
1.700000e+01	-2.428660e-03
1.600000e+01	-2.429450e-03
1.500000e+01	-2.428080e-03
1.400000e+01	-2.425080e-03
1.300000e+01	-2.423197e-03
1.200000e+01	-2.423547e-03
1.100000e+01	-2.422690e-03
1.000000e+01	-2.421487e-03
9.000000e+00	-2.416773e-03
8.000000e+00	-2.415790e-03
7.000000e+00	-2.413700e-03
6.000000e+00	-2.413183e-03
5.000000e+00	-2.411157e-03
4.000000e+00	-2.405653e-03
3.000000e+00	-2.406187e-03
2.000000e+00	-2.400327e-03
1.000000e+00	-2.396963e-03
0.000000e+00	-2.396483e-03
-1.000000e+00	-2.392230e-03
-2.000000e+00	-2.391477e-03
-3.000000e+00	-2.393037e-03
-4.000000e+00	-2.383453e-03
-5.000000e+00	-2.382197e-03
-6.000000e+00	-2.377963e-03
-7.000000e+00	-2.371083e-03
-8.000000e+00	-2.366147e-03
-9.000000e+00	-2.362827e-03
-1.000000e+01	-2.356997e-03
-1.100000e+01	-2.349830e-03
-1.200000e+01	-2.343343e-03
-1.300000e+01	-2.334553e-03
-1.400000e+01	-2.330143e-03
-1.500000e+01	-2.326310e-03
-1.600000e+01	-2.318563e-03
-1.700000e+01	-2.309207e-03
-1.800000e+01	-2.302073e-03
-1.900000e+01	-2.293367e-03
-2.000000e+01	-2.283843e-03
-2.100000e+01	-2.273567e-03
-2.200000e+01	-2.265047e-03
-2.300000e+01	-2.255457e-03
-2.400000e+01	-2.244547e-03
-2.500000e+01	-2.235797e-03
-2.600000e+01	-2.228073e-03
-2.700000e+01	-2.214643e-03
