Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-8.536927e-04
1.150000e+02	-8.580140e-04
1.100000e+02	-8.583043e-04
1.050000e+02	-8.580337e-04
1.000000e+02	-8.572940e-04
9.500000e+01	-8.569130e-04
9.000000e+01	-8.527493e-04
8.500000e+01	-8.540600e-04
8.000000e+01	-8.525960e-04
7.500000e+01	-8.538807e-04
7.000000e+01	-8.517110e-04
6.500000e+01	-8.481010e-04
6.000000e+01	-8.489813e-04
5.500000e+01	-8.494570e-04
5.000000e+01	-8.447913e-04
4.500000e+01	-8.452653e-04
4.000000e+01	-8.414320e-04
3.500000e+01	-8.391413e-04
3.000000e+01	-8.375923e-04
2.500000e+01	-8.319660e-04
2.000000e+01	-8.270497e-04
1.900000e+01	-8.240990e-04
1.800000e+01	-8.235540e-04
1.700000e+01	-8.227317e-04
1.600000e+01	-8.207890e-04
1.500000e+01	-8.200107e-04
1.400000e+01	-8.189007e-04
1.300000e+01	-8.175580e-04
1.200000e+01	-8.165883e-04
1.100000e+01	-8.145857e-04
1.000000e+01	-8.131277e-04
9.000000e+00	-8.109753e-04
8.000000e+00	-8.094503e-04
7.000000e+00	-8.059397e-04
6.000000e+00	-8.034780e-04
5.000000e+00	-8.022817e-04
4.000000e+00	-7.994027e-04
3.000000e+00	-7.972350e-04
2.000000e+00	-7.935947e-04
1.000000e+00	-7.918383e-04
0.000000e+00	-7.900063e-04
-1.000000e+00	-7.838193e-04
-2.000000e+00	-7.823617e-04
-3.000000e+00	-7.784593e-04
-4.000000e+00	-7.754980e-04
-5.000000e+00	-7.705683e-04
-6.000000e+00	-7.648427e-04
-7.000000e+00	-7.615070e-04
-8.000000e+00	-7.560213e-04
-9.000000e+00	-7.494090e-04
-1.000000e+01	-7.457790e-04
-1.100000e+01	-7.394110e-04
-1.200000e+01	-7.351063e-04
-1.300000e+01	-7.271310e-04
-1.400000e+01	-7.206307e-04
-1.500000e+01	-7.140660e-04
-1.600000e+01	-7.069557e-04
-1.700000e+01	-6.992570e-04
-1.800000e+01	-6.905007e-04
-1.900000e+01	-6.843080e-04
-2.000000e+01	-6.748677e-04
-2.100000e+01	-6.669163e-04
-2.200000e+01	-6.576020e-04
-2.300000e+01	-6.509723e-04
-2.400000e+01	-6.390467e-04
-2.500000e+01	-6.296350e-04
-2.600000e+01	-6.199273e-04
-2.700000e+01	-6.074913e-04
-2.800000e+01	-5.991333e-04
-2.900000e+01	-5.877553e-04
-3.000000e+01	-5.756830e-04
-3.100000e+01	-5.651810e-04
-3.200000e+01	-5.536927e-04
-3.300000e+01	-5.431650e-04
-3.400000e+01	-5.291307e-04
-3.500000e+01	-5.172377e-04
-3.600000e+01	-5.048797e-04
-3.700000e+01	-4.922840e-04
-3.800000e+01	-4.794310e-04
-3.900000e+01	-4.674667e-04
-4.000000e+01	-4.523877e-04
-4.100000e+01	-4.382473e-04
-4.200000e+01	-4.248730e-04
-4.300000e+01	-4.078450e-04
-4.400000e+01	-3.925260e-04
-4.500000e+01	-3.784203e-04
-4.600000e+01	-3.609010e-04
-4.700000e+01	-3.435140e-04
-4.800000e+01	-3.261613e-04
-4.900000e+01	-3.045820e-04
-5.000000e+01	-2.848270e-04
-5.100000e+01	-2.601867e-04
-5.200000e+01	-2.298620e-04
-5.300000e+01	-2.008653e-04
-5.400000e+01	-1.654447e-04
-5.500000e+01	-1.237550e-04
-5.600000e+01	-7.350797e-05
-5.700000e+01	-1.598653e-05
-5.800000e+01	4.808483e-05
-5.900000e+01	1.245833e-04
-6.000000e+01	2.217523e-04
-6.100000e+01	3.310307e-04
