Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-1.369890e-03
1.150000e+02	-1.368273e-03
1.100000e+02	-1.366860e-03
1.050000e+02	-1.367327e-03
1.000000e+02	-1.366017e-03
9.500000e+01	-1.365680e-03
9.000000e+01	-1.364900e-03
8.500000e+01	-1.364767e-03
8.000000e+01	-1.362847e-03
7.500000e+01	-1.361497e-03
7.000000e+01	-1.358493e-03
6.500000e+01	-1.358747e-03
6.000000e+01	-1.357507e-03
5.500000e+01	-1.356273e-03
5.000000e+01	-1.353753e-03
4.500000e+01	-1.352363e-03
4.000000e+01	-1.349877e-03
3.500000e+01	-1.346447e-03
3.000000e+01	-1.342217e-03
2.500000e+01	-1.337450e-03
2.000000e+01	-1.332943e-03
1.900000e+01	-1.332063e-03
1.800000e+01	-1.330680e-03
1.700000e+01	-1.329737e-03
1.600000e+01	-1.327720e-03
1.500000e+01	-1.326087e-03
1.400000e+01	-1.324567e-03
1.300000e+01	-1.320830e-03
1.200000e+01	-1.321433e-03
1.100000e+01	-1.317847e-03
1.000000e+01	-1.317377e-03
9.000000e+00	-1.315760e-03
8.000000e+00	-1.311680e-03
7.000000e+00	-1.309807e-03
6.000000e+00	-1.308027e-03
5.000000e+00	-1.306160e-03
4.000000e+00	-1.303303e-03
3.000000e+00	-1.301117e-03
2.000000e+00	-1.296867e-03
1.000000e+00	-1.295043e-03
0.000000e+00	-1.293200e-03
-1.000000e+00	-1.288837e-03
-2.000000e+00	-1.286257e-03
-3.000000e+00	-1.282760e-03
-4.000000e+00	-1.279800e-03
-5.000000e+00	-1.276390e-03
-6.000000e+00	-1.270917e-03
-7.000000e+00	-1.267180e-03
-8.000000e+00	-1.260483e-03
-9.000000e+00	-1.256817e-03
-1.000000e+01	-1.252663e-03
-1.100000e+01	-1.246613e-03
-1.200000e+01	-1.240497e-03
-1.300000e+01	-1.234317e-03
-1.400000e+01	-1.228733e-03
-1.500000e+01	-1.222837e-03
-1.600000e+01	-1.215750e-03
-1.700000e+01	-1.210457e-03
-1.800000e+01	-1.204543e-03
-1.900000e+01	-1.196243e-03
-2.000000e+01	-1.190357e-03
-2.100000e+01	-1.181233e-03
-2.200000e+01	-1.175780e-03
-2.300000e+01	-1.167097e-03
-2.400000e+01	-1.158803e-03
-2.500000e+01	-1.148267e-03
-2.600000e+01	-1.140387e-03
-2.700000e+01	-1.131160e-03
-2.800000e+01	-1.121843e-03
-2.900000e+01	-1.113010e-03
-3.000000e+01	-1.104200e-03
-3.100000e+01	-1.092707e-03
-3.200000e+01	-1.083070e-03
-3.300000e+01	-1.070907e-03
-3.400000e+01	-1.062027e-03
-3.500000e+01	-1.050757e-03
-3.600000e+01	-1.040860e-03
-3.700000e+01	-1.028720e-03
-3.800000e+01	-1.017007e-03
-3.900000e+01	-1.005007e-03
-4.000000e+01	-9.928343e-04
-4.100000e+01	-9.805697e-04
-4.200000e+01	-9.687007e-04
-4.300000e+01	-9.548437e-04
-4.400000e+01	-9.425400e-04
-4.500000e+01	-9.292540e-04
-4.600000e+01	-9.158233e-04
-4.700000e+01	-8.987090e-04
-4.800000e+01	-8.830113e-04
-4.900000e+01	-8.672053e-04
-5.000000e+01	-8.496430e-04
-5.100000e+01	-8.298700e-04
-5.200000e+01	-8.084033e-04
-5.300000e+01	-7.863957e-04
-5.400000e+01	-7.582387e-04
-5.500000e+01	-7.289350e-04
-5.600000e+01	-6.946023e-04
-5.700000e+01	-6.564143e-04
-5.800000e+01	-6.145887e-04
-5.900000e+01	-5.623430e-04
-6.000000e+01	-5.052110e-04
-6.100000e+01	-4.391623e-04
-6.200000e+01	-3.636980e-04
-6.300000e+01	-2.757803e-04
-6.400000e+01	-1.849060e-04
-6.500000e+01	-8.106590e-05
-6.600000e+01	3.229627e-05
-6.700000e+01	1.488990e-04
-6.800000e+01	2.742120e-04
-6.900000e+01	3.985003e-04
-7.000000e+01	5.216830e-04
-7.100000e+01	6.495033e-04
-7.200000e+01	7.675293e-04
-7.300000e+01	8.876163e-04
-7.400000e+01	1.000320e-03
-7.500000e+01	1.096713e-03
-7.600000e+01	1.194573e-03
-7.700000e+01	1.282873e-03
-7.800000e+01	1.377060e-03
-7.900000e+01	1.456243e-03
-8.000000e+01	1.533873e-03
-8.100000e+01	1.608197e-03
-8.200000e+01	1.676427e-03
-8.300000e+01	1.738633e-03
-8.400000e+01	1.791487e-03
-8.500000e+01	1.837713e-03
-8.600000e+01	1.874480e-03
-8.700000e+01	1.906907e-03
-8.800000e+01	1.932220e-03
-8.900000e+01	1.949770e-03
-9.000000e+01	1.967930e-03
-9.500000e+01	2.006960e-03
-1.000000e+02	2.018567e-03
-1.050000e+02	2.024790e-03
-1.100000e+02	2.028167e-03
-1.150000e+02	2.029560e-03
-1.200000e+02	2.031733e-03
-1.150000e+02	2.029823e-03
-1.100000e+02	2.030107e-03
-1.050000e+02	2.030537e-03
-1.000000e+02	2.027523e-03
-9.500000e+01	2.029017e-03
-9.000000e+01	2.027273e-03
-8.500000e+01	2.027153e-03
-8.000000e+01	2.026267e-03
-7.500000e+01	2.025580e-03
-7.000000e+01	2.025473e-03
-6.500000e+01	2.023987e-03
-6.000000e+01	2.021113e-03
-5.500000e+01	2.020200e-03
-5.000000e+01	2.018247e-03
-4.500000e+01	2.017830e-03
-4.000000e+01	2.011737e-03
-3.500000e+01	2.010810e-03
-3.000000e+01	2.007450e-03
-2.500000e+01	2.003013e-03
-2.000000e+01	1.999660e-03
-1.900000e+01	1.996203e-03
-1.800000e+01	1.995460e-03
-1.700000e+01	1.994853e-03
-1.600000e+01	1.992903e-03
