Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
9.744948E-2	-1.050360E-6	-9.277722E+4	-1.023570E-7	0.000000E+0
1.999510E-1	1.982444E-10	1.008609E+9	3.963917E-11	1.000000E-1
4.017364E-1	6.997237E-10	5.741358E+8	2.811045E-10	2.000000E-1
6.001267E-1	8.511007E-10	7.051183E+8	5.107683E-10	3.000000E-1
8.016839E-1	9.751926E-10	8.220775E+8	7.817962E-10	4.000000E-1
1.000007E+0	1.034915E-9	9.662697E+8	1.034922E-9	5.000000E-1
1.201767E+0	1.073985E-9	1.118979E+9	1.290680E-9	6.000000E-1
1.400156E+0	1.125893E-9	1.243596E+9	1.576426E-9	7.000000E-1
1.601765E+0	1.172777E-9	1.365788E+9	1.878513E-9	8.000000E-1
1.799868E+0	1.216366E-9	1.479709E+9	2.189298E-9	9.000000E-1
2.001797E+0	1.307597E-9	1.530898E+9	2.617544E-9	1.000000E+0
2.200052E+0	1.371332E-9	1.604318E+9	3.017002E-9	1.100000E+0
2.401854E+0	1.446683E-9	1.660249E+9	3.474721E-9	1.200000E+0
2.600017E+0	1.432576E-9	1.814924E+9	3.724722E-9	1.300000E+0
2.801524E+0	1.465859E-9	1.911182E+9	4.106639E-9	1.400000E+0
2.999752E+0	1.456355E-9	2.059767E+9	4.368704E-9	1.500000E+0
3.201597E+0	1.514558E-9	2.113882E+9	4.849004E-9	1.600000E+0
3.399811E+0	1.555190E-9	2.186107E+9	5.287352E-9	1.700000E+0
3.601671E+0	1.597384E-9	2.254731E+9	5.753252E-9	1.800000E+0
3.799994E+0	1.571705E-9	2.417753E+9	5.972470E-9	1.800000E+0
4.001719E+0	1.582432E-9	2.528841E+9	6.332448E-9	2.000000E+0
4.199986E+0	1.616603E-9	2.598032E+9	6.789710E-9	2.100000E+0
4.401685E+0	1.689292E-9	2.605639E+9	7.435731E-9	2.200000E+0
4.600007E+0	1.734738E-9	2.651701E+9	7.979807E-9	2.300000E+0
4.801726E+0	1.744412E-9	2.752633E+9	8.376188E-9	2.400000E+0
4.999998E+0	1.711931E-9	2.920677E+9	8.559652E-9	2.400000E+0
5.201807E+0	1.744453E-9	2.981913E+9	9.074308E-9	2.600000E+0
5.400022E+0	1.764009E-9	3.061221E+9	9.525687E-9	2.700000E+0
5.601555E+0	1.857945E-9	3.014920E+9	1.040738E-8	2.800000E+0
5.799984E+0	1.869432E-9	3.102538E+9	1.084268E-8	2.900000E+0
6.001526E+0	1.884933E-9	3.183947E+9	1.131247E-8	2.900000E+0
6.199342E+0	1.843541E-9	3.362736E+9	1.142874E-8	3.100000E+0
