Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
9.750018E-2	-1.050362E-6	-9.282531E+4	-1.024105E-7	0.000000E+0
1.998666E-1	3.561264E-10	5.612238E+8	7.117777E-11	1.000000E-1
4.015927E-1	8.386405E-10	4.788616E+8	3.367919E-10	2.000000E-1
6.000590E-1	1.012319E-9	5.927568E+8	6.074511E-10	3.000000E-1
8.016754E-1	1.061989E-9	7.548811E+8	8.513705E-10	4.000000E-1
9.999648E-1	1.136031E-9	8.802267E+8	1.135991E-9	5.000000E-1
1.201691E+0	1.163992E-9	1.032388E+9	1.398759E-9	6.000000E-1
1.400098E+0	1.154488E-9	1.212744E+9	1.616396E-9	7.000000E-1
1.601799E+0	1.259406E-9	1.271869E+9	2.017315E-9	8.000000E-1
1.799852E+0	1.373234E-9	1.310667E+9	2.471618E-9	8.000000E-1
2.001823E+0	1.415809E-9	1.413908E+9	2.834199E-9	1.000000E+0
2.200011E+0	1.456567E-9	1.510408E+9	3.204463E-9	1.100000E+0
2.401719E+0	1.481867E-9	1.620739E+9	3.559028E-9	1.200000E+0
2.599982E+0	1.518739E-9	1.711935E+9	3.948694E-9	1.200000E+0
2.801346E+0	1.534536E-9	1.825533E+9	4.298766E-9	1.300000E+0
2.999651E+0	1.534198E-9	1.955192E+9	4.602059E-9	1.400000E+0
3.201490E+0	1.554093E-9	2.060038E+9	4.975413E-9	1.600000E+0
3.399769E+0	1.598314E-9	2.127097E+9	5.433898E-9	1.700000E+0
3.601596E+0	1.644943E-9	2.189496E+9	5.924420E-9	1.700000E+0
3.799885E+0	1.660402E-9	2.288533E+9	6.309337E-9	1.800000E+0
4.001662E+0	1.679156E-9	2.383139E+9	6.719415E-9	1.900000E+0
4.199865E+0	1.716281E-9	2.447073E+9	7.208149E-9	2.000000E+0
4.401550E+0	1.752352E-9	2.511796E+9	7.713065E-9	2.200000E+0
4.599923E+0	1.789858E-9	2.569993E+9	8.233209E-9	2.300000E+0
4.801547E+0	1.820395E-9	2.637640E+9	8.740712E-9	2.300000E+0
4.999990E+0	1.785255E-9	2.800715E+9	8.926257E-9	2.400000E+0
5.201730E+0	1.837374E-9	2.831068E+9	9.557523E-9	2.500000E+0
5.399912E+0	1.915428E-9	2.819167E+9	1.034314E-8	2.600000E+0
5.601553E+0	1.916907E-9	2.922183E+9	1.073766E-8	2.800000E+0
5.799901E+0	1.927762E-9	3.008619E+9	1.118083E-8	2.800000E+0
6.001365E+0	1.959143E-9	3.063260E+9	1.175753E-8	2.900000E+0
6.199278E+0	1.950360E-9	3.178530E+9	1.209082E-8	3.000000E+0
6.400926E+0	1.979798E-9	3.233121E+9	1.267254E-8	3.100000E+0
6.599378E+0	1.987402E-9	3.320605E+9	1.311562E-8	3.200000E+0
6.800931E+0	2.022586E-9	3.362493E+9	1.375547E-8	3.300000E+0
6.999525E+0	2.045983E-9	3.421106E+9	1.432091E-8	3.400000E+0
7.201150E+0	2.077534E-9	3.466201E+9	1.496063E-8	3.500000E+0
7.399576E+0	2.081505E-9	3.554916E+9	1.540225E-8	3.600000E+0
7.601072E+0	2.099201E-9	3.620936E+9	1.595618E-8	3.700000E+0
7.799521E+0	2.114238E-9	3.689046E+9	1.649004E-8	3.800000E+0
8.001198E+0	2.165049E-9	3.695620E+9	1.732299E-8	3.900000E+0
8.199580E+0	2.175989E-9	3.768208E+9	1.784220E-8	4.000000E+0
8.401266E+0	2.193602E-9	3.829895E+9	1.842903E-8	4.100000E+0
8.599781E+0	2.199261E-9	3.910305E+9	1.891316E-8	4.200000E+0
8.801393E+0	2.230050E-9	3.946725E+9	1.962755E-8	4.300000E+0
8.999461E+0	2.279467E-9	3.948055E+9	2.051397E-8	4.400000E+0
9.201183E+0	2.260969E-9	4.069575E+9	2.080359E-8	4.500000E+0
9.399421E+0	2.296574E-9	4.092801E+9	2.158647E-8	4.600000E+0
9.600829E+0	2.229630E-9	4.306019E+9	2.140630E-8	4.700000E+0
9.799165E+0	2.331420E-9	4.203089E+9	2.284597E-8	4.800000E+0
1.000091E+1	2.368336E-9	4.222758E+9	2.368552E-8	4.900000E+0
1.019920E+1	2.358917E-9	4.323679E+9	2.405907E-8	5.000000E+0
1.040118E+1	2.355749E-9	4.415233E+9	2.450257E-8	5.100000E+0
1.059936E+1	2.371081E-9	4.470265E+9	2.513194E-8	5.200000E+0
1.080107E+1	2.382568E-9	4.533373E+9	2.573428E-8	5.300000E+0
1.099929E+1	2.409052E-9	4.565817E+9	2.649786E-8	5.400000E+0
1.120101E+1	2.428565E-9	4.612193E+9	2.720238E-8	5.500000E+0
1.139945E+1	2.441279E-9	4.669458E+9	2.782924E-8	5.600000E+0
1.160112E+1	2.440898E-9	4.752808E+9	2.831715E-8	5.700000E+0
1.179944E+1	2.453357E-9	4.809508E+9	2.894824E-8	5.800000E+0
1.200125E+1	2.488963E-9	4.821787E+9	2.987067E-8	5.900000E+0
